r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
62,100,120,zh,蓝色,蓝,蓝,黛蓝色,黛蓝,黛蓝
22,26,57,zh,深蓝色,深蓝,深蓝,深蓝色,深蓝,深蓝
0,174,62,zh,绿色,绿,绿,绿色,绿,绿
229,171,112,zh,橙色,橙,橙,蜜桃色,蜜桃,蜜桃
82,88,49,zh,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿
155,5,163,zh,紫色,紫,紫,紫色,紫,紫
237,210,194,zh,肤色,肤,肤,杏色,杏,杏
53,126,132,zh,青绿色,青绿,青绿,蓝绿色,蓝绿,蓝绿
22,120,79,zh,绿色,绿,绿,绿色,绿,绿
186,105,93,zh,棕色,棕,棕,砖红色,砖红,砖红
138,100,249,zh,紫色,紫,紫,紫色,紫,紫
251,67,63,zh,红色,红,红,橘红色,橘红,橘红
222,163,225,zh,粉色,粉,粉,淡紫色,淡紫,淡紫
54,51,228,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
195,194,145,zh,卡其色,卡其,卡其,黄绿色,黄绿,黄绿
39,55,190,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
107,16,38,zh,酒红色,酒红,酒红,酒红色,酒红,酒红
150,100,28,zh,棕色,棕,棕,焦糖色,焦糖,焦糖
90,160,214,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
219,210,50,zh,黄色,黄,黄,黄色,黄,黄
8,210,197,zh,青绿色,青绿,青绿,青色,青,青
109,124,199,zh,蓝色,蓝,蓝,蓝紫色,蓝紫,蓝紫
24,69,148,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
232,1,233,zh,品红,品红,品红,洋红色,洋红,洋红
232,69,107,zh,粉红色,粉红,粉红,玫红色,玫瑰,玫瑰
162,71,116,zh,紫红色,紫红,紫红,紫红色,紫红,紫红
44,115,88,zh,绿色,绿,绿,墨绿色,墨绿,墨绿
155,88,11,zh,棕色,棕,棕,褐色,褐,褐
185,31,60,zh,红色,红,红,红色,红,红
40,98,9,zh,绿色,绿,绿,深绿色,深绿,深绿
108,59,209,zh,紫色,紫,紫,紫色,紫,紫
16,234,199,zh,青绿色,青绿,青绿,青绿色,青绿,青绿
64,229,174,zh,绿色,绿,绿,青色,青,青
117,138,5,zh,黄绿色,黄绿,黄绿,橄榄绿,橄榄绿,橄榄绿
211,218,2,zh,黄色,黄,黄,黄绿色,黄绿,黄绿
128,42,67,zh,紫红色,紫红,紫红,酒红色,酒红,酒红
156,250,62,zh,荧光绿,荧光绿,荧光绿,黄绿色,黄绿,黄绿
143,108,164,zh,紫色,紫,紫,紫色,紫,紫
218,44,30,zh,红色,红,红,红色,红,红
97,83,152,zh,紫色,紫,紫,紫色,紫,紫
165,205,183,zh,浅绿色,浅绿,浅绿,薄荷绿,薄荷绿,薄荷绿
209,138,118,zh,粉橙色,粉橙,粉橙,肉桂色,肉桂,肉桂
17,101,231,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
10,234,163,zh,青绿色,青绿,青绿,绿色,绿,绿
135,149,200,zh,淡紫色,淡紫,淡紫,蓝紫色,蓝紫,蓝紫
214,196,41,zh,黄色,黄,黄,芥末黄,芥末黄,芥末黄
238,48,31,zh,红色,红,红,红色,红,红
64,255,119,zh,绿色,绿,绿,鲜绿,鲜绿,鲜绿
0,190,80,zh,绿色,绿,绿,绿色,绿,绿
64,105,181,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
116,28,103,zh,紫色,紫,紫,紫色,紫,紫
134,253,151,zh,浅绿色,浅绿,浅绿,浅绿色,浅绿,浅绿
15,94,170,zh,蓝色,蓝,蓝,宝蓝色,宝蓝,宝蓝
104,160,224,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
209,220,114,zh,黄色,黄,黄,黄绿色,黄绿,黄绿
10,22,80,zh,蓝色,蓝,蓝,藏青色,藏青,藏青
243,109,103,zh,珊瑚红,珊瑚红,珊瑚红,珊瑚红,珊瑚红,珊瑚红
121,82,159,zh,紫色,紫,紫,紫色,紫,紫
47,243,139,zh,绿色,绿,绿,翠绿,翠绿,翠绿
151,74,147,zh,紫色,紫,紫,品红色,品红,品红
92,99,79,zh,灰绿色,灰绿,灰绿,军绿色,军绿,军绿
61,23,224,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
4,57,47,zh,深绿色,深绿,深绿,墨绿色,墨绿,墨绿
203,90,216,zh,紫色,紫,紫,紫色,紫,紫
51,170,86,zh,绿色,绿,绿,绿色,绿,绿
194,205,157,zh,浅绿色,浅绿,浅绿,鼠尾草绿,鼠尾草绿,鼠尾草绿
21,73,196,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
166,58,237,zh,紫色,紫,紫,紫色,紫,紫
208,165,12,zh,黄色,黄,黄,金黄色,金黄,金黄
165,189,35,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
139,134,43,zh,黄色,黄,黄,橄榄绿,橄榄绿,橄榄绿
170,227,38,zh,黄绿色,黄绿,黄绿,柠檬绿,柠檬绿,柠檬绿
243,171,248,zh,粉色,粉,粉,紫粉色,粉紫,粉紫
130,242,164,zh,绿色,绿,绿,浅绿色,浅绿,浅绿
128,25,137,zh,紫色,紫,紫,紫色,紫,紫
244,59,122,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
226,36,71,zh,红色,红,红,鲜红色,鲜红,鲜红
150,94,125,zh,紫色,紫,紫,枯玫瑰色,枯玫瑰,枯玫瑰
210,3,129,zh,洋红,洋红,洋红,品红,品红,品红
243,51,10,zh,橙色,橙,橙,橘红色,橘红,橘红
125,155,150,zh,绿色,绿,绿,青色,青,青
56,22,224,zh,蓝色,蓝,蓝,群青色,群青,群青
27,118,26,zh,绿色,绿,绿,绿色,绿,绿
156,70,215,zh,紫色,紫,紫,紫色,紫,紫
243,103,137,zh,粉色,粉,粉,粉色,粉,粉
215,146,170,zh,粉色,粉,粉,粉色,粉,粉
171,12,86,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
160,24,213,zh,紫色,紫,紫,紫色,紫,紫
21,92,119,zh,蓝色,蓝,蓝,青色,青,青
3,204,139,zh,绿色,绿,绿,翠绿,翠绿,翠绿
109,141,5,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
136,192,119,zh,绿色,绿,绿,豆绿色,豆绿,豆绿
191,95,44,zh,橙色,橙,橙,赤褐色,赤褐,赤褐
205,166,208,zh,淡紫色,淡紫,淡紫,淡紫色,淡紫,淡紫
244,3,64,zh,红色,红,红,玫红色,玫瑰,玫瑰
172,168,244,zh,淡紫色,淡紫,淡紫,淡紫色,淡紫,淡紫
25,166,184,zh,青色,青,青,湖蓝色,湖蓝,湖蓝
100,144,184,zh,蓝色,蓝,蓝,灰蓝色,灰蓝,灰蓝
228,220,124,zh,黄色,黄,黄,鹅黄色,鹅黄,鹅黄
80,249,3,zh,绿色,绿,绿,绿色,绿,绿
188,76,114,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
188,31,227,zh,紫色,紫,紫,紫色,紫,紫
86,133,211,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
92,149,190,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
68,159,210,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
187,166,234,zh,紫色,紫,紫,浅紫色,浅紫,浅紫
207,211,122,zh,浅黄绿色,浅黄绿,浅黄绿,豆绿色,豆绿,豆绿
63,252,18,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
10,253,111,zh,绿色,绿,绿,翠绿,翠绿,翠绿
101,43,203,zh,紫色,紫,紫,紫色,紫,紫
168,174,106,zh,卡其色,卡其,卡其,橄榄绿,橄榄绿,橄榄绿
208,158,39,zh,黄色,黄,黄,土黄色,土黄,土黄
197,115,145,zh,粉色,粉,粉,梅红色,梅红,梅红
125,234,109,zh,绿色,绿,绿,浅绿色,浅绿,浅绿
66,9,56,zh,紫色,紫,紫,深紫色,深紫,深紫
20,14,66,zh,深蓝色,深蓝,深蓝,午夜蓝,午夜蓝,午夜蓝
226,6,50,zh,红色,红,红,红色,红,红
129,76,237,zh,紫色,紫,紫,紫色,紫,紫
163,94,138,zh,紫色,紫,紫,藕荷色,藕荷,藕荷
47,243,185,zh,绿色,绿,绿,青色,青,青
114,238,231,zh,青绿色,青绿,青绿,绿松石色,绿松石,绿松石
70,112,205,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
106,209,20,zh,绿色,绿,绿,青柠绿,青柠,青柠
119,243,145,zh,绿色,绿,绿,浅绿色,浅绿,浅绿
18,78,195,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
168,130,224,zh,紫色,紫,紫,紫色,紫,紫
221,92,246,zh,紫色,紫,紫,品红色,品红,品红
242,161,127,zh,橙色,橙,橙,蜜桃色,蜜桃,蜜桃
137,63,125,zh,紫色,紫,紫,紫色,紫,紫
199,253,14,zh,黄绿色,黄绿,黄绿,荧光绿,荧光绿,荧光绿
82,49,5,zh,棕色,棕,棕,棕色,棕,棕
152,19,163,zh,紫色,紫,紫,紫色,紫,紫
246,130,124,zh,珊瑚粉,珊瑚粉,珊瑚粉,珊瑚色,珊瑚,珊瑚
49,49,26,zh,深绿色,深绿,深绿,橄榄绿,橄榄绿,橄榄绿
4,136,117,zh,绿色,绿,绿,蓝绿色,蓝绿,蓝绿
228,253,58,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
40,216,222,zh,青色,青,青,青色,青,青
166,111,254,zh,紫色,紫,紫,紫色,紫,紫
132,139,117,zh,灰绿色,灰绿,灰绿,军绿色,军绿,军绿
111,58,38,zh,棕色,棕,棕,褐色,褐,褐
83,119,100,zh,绿色,绿,绿,青色,青,青
68,249,251,zh,青色,青,青,青色,青,青
254,94,79,zh,橙红色,橙红,橙红,橙红色,橙红,橙红
43,161,141,zh,绿色,绿,绿,青绿色,青绿,青绿
189,10,20,zh,红色,红,红,红色,红,红
127,147,0,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
146,63,127,zh,紫色,紫,紫,紫色,紫,紫
197,108,214,zh,紫色,紫,紫,紫色,紫,紫
212,1,88,zh,品红,品红,品红,品红色,品红,品红
174,127,193,zh,紫色,紫,紫,紫色,紫,紫
255,29,216,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
71,231,137,zh,绿色,绿,绿,绿色,绿,绿
206,0,158,zh,紫红色,紫红,紫红,品红色,品红,品红
27,7,32,zh,紫色,紫,紫,深紫色,深紫,深紫
143,228,164,zh,浅绿色,浅绿,浅绿,浅绿色,浅绿,浅绿
61,218,236,zh,青色,青,青,青色,青,青
91,80,253,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
97,50,65,zh,暗红色,暗红,暗红,酒红色,酒红,酒红
142,95,205,zh,紫色,紫,紫,紫色,紫,紫
216,72,252,zh,紫色,紫,紫,紫色,紫,紫
218,113,229,zh,紫色,紫,紫,紫色,紫,紫
62,183,44,zh,绿色,绿,绿,绿色,绿,绿
196,50,201,zh,紫色,紫,紫,品红色,品红,品红
91,46,33,zh,棕色,棕,棕,红棕色,红棕,红棕
236,147,210,zh,粉色,粉,粉,粉色,粉,粉
36,214,228,zh,青色,青,青,青色,青,青
240,70,23,zh,橙色,橙,橙,橙红色,橙红,橙红
146,192,142,zh,绿色,绿,绿,艾草绿,艾草绿,艾草绿
43,89,106,zh,蓝绿色,蓝绿,蓝绿,青色,青,青
50,30,90,zh,紫色,紫,紫,深紫色,深紫,深紫
144,77,118,zh,紫色,紫,紫,紫红色,紫红,紫红
112,198,118,zh,绿色,绿,绿,绿色,绿,绿
253,181,33,zh,橙色,橙,橙,橙色,橙,橙
229,204,91,zh,黄色,黄,黄,芥末黄,芥末黄,芥末黄
38,147,78,zh,绿色,绿,绿,绿色,绿,绿
234,117,52,zh,橙色,橙,橙,橙色,橙,橙
168,147,234,zh,紫色,紫,紫,淡紫色,淡紫,淡紫
170,173,64,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
222,45,17,zh,红色,红,红,红色,红,红
193,4,99,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
55,0,221,zh,蓝色,蓝,蓝,宝蓝色,宝蓝,宝蓝
236,236,86,zh,黄色,黄,黄,黄色,黄,黄
34,241,179,zh,青绿色,青绿,青绿,青色,青,青
23,186,238,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
209,224,186,zh,浅绿色,浅绿,浅绿,淡绿色,淡绿,淡绿
176,165,20,zh,黄色,黄,黄,橄榄绿,橄榄绿,橄榄绿
67,179,222,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
11,172,28,zh,绿色,绿,绿,绿色,绿,绿
24,145,179,zh,青色,青,青,青色,青,青
72,57,223,zh,蓝色,蓝,蓝,蓝紫色,蓝紫,蓝紫
54,76,225,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
247,112,132,zh,粉色,粉,粉,粉红色,粉红,粉红
58,53,91,zh,深紫色,深紫,深紫,深紫色,深紫,深紫
13,113,112,zh,青绿色,青绿,青绿,鸭绿色,鸭绿,鸭绿
49,182,60,zh,绿色,绿,绿,绿色,绿,绿
50,247,182,zh,绿色,绿,绿,水绿色,水绿,水绿
45,3,207,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
208,191,87,zh,黄色,黄,黄,橄榄绿,橄榄绿,橄榄绿
5,225,246,zh,青色,青,青,青色,青,青
226,128,152,zh,粉色,粉,粉,粉色,粉,粉
81,70,91,zh,深灰紫,深灰紫,深灰紫,深紫色,深紫,深紫
28,92,239,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
34,120,71,zh,绿色,绿,绿,深绿色,深绿,深绿
7,11,170,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
62,117,27,zh,绿色,绿,绿,军绿色,军绿,军绿
230,73,215,zh,粉色,粉,粉,品红色,品红,品红
26,192,163,zh,绿色,绿,绿,青色,青,青
48,177,249,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
198,221,72,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
57,248,157,zh,绿色,绿,绿,鲜绿色,鲜绿,鲜绿
14,157,115,zh,绿色,绿,绿,水鸭色,水鸭,水鸭
151,213,110,zh,浅绿色,浅绿,浅绿,苹果绿,苹果绿,苹果绿
73,75,33,zh,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿
131,246,178,zh,绿色,绿,绿,薄荷绿,薄荷绿,薄荷绿
83,77,85,zh,灰色,灰,灰,深灰色,深灰,深灰
204,136,8,zh,橙色,橙,橙,琥珀色,琥珀,琥珀
121,140,54,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
45,215,54,zh,绿色,绿,绿,绿色,绿,绿
141,49,72,zh,棕红色,棕红,棕红,酒红色,酒红,酒红
134,83,227,zh,紫色,紫,紫,紫色,紫,紫
148,25,196,zh,紫色,紫,紫,紫色,紫,紫
159,143,181,zh,紫色,紫,紫,淡紫色,淡紫,淡紫
215,81,2,zh,橙色,橙,橙,橙色,橙,橙
181,25,39,zh,红色,红,红,红色,红,红
99,171,67,zh,绿色,绿,绿,绿色,绿,绿
68,197,8,zh,绿色,绿,绿,草绿色,草绿,草绿
3,37,5,zh,深绿色,深绿,深绿,墨绿色,墨绿,墨绿
133,189,30,zh,绿色,绿,绿,黄绿色,黄绿,黄绿
30,31,176,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
124,80,113,zh,紫色,紫,紫,灰紫色,灰紫,灰紫
162,156,194,zh,紫色,紫,紫,淡紫色,淡紫,淡紫
149,84,156,zh,紫色,紫,紫,紫色,紫,紫
7,14,135,zh,蓝色,蓝,蓝,深蓝色,深蓝,深蓝
105,8,233,zh,紫色,紫,紫,紫色,紫,紫
143,121,225,zh,紫色,紫,紫,紫色,紫,紫
24,45,222,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
220,165,94,zh,橙色,橙,橙,土黄色,土黄,土黄
128,142,104,zh,灰绿色,灰绿,灰绿,橄榄绿,橄榄绿,橄榄绿
48,8,230,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
246,235,203,zh,米色,米,米,米黄色,米黄,米黄
140,47,96,zh,紫红色,紫红,紫红,品红色,品红,品红
29,105,101,zh,青绿色,青绿,青绿,鸭绿色,鸭绿,鸭绿
174,47,83,zh,红色,红,红,洋红色,洋红,洋红
125,60,177,zh,紫色,紫,紫,紫色,紫,紫
4,1,136,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
190,37,35,zh,红色,红,红,红色,红,红
13,193,195,zh,青色,青,青,水鸭蓝,水鸭蓝,水鸭蓝
189,163,95,zh,卡其色,卡其,卡其,卡其色,卡其,卡其
73,96,46,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
21,247,52,zh,绿色,绿,绿,绿色,绿,绿
245,4,194,zh,洋红,洋红,洋红,品红色,品红,品红
114,82,121,zh,紫色,紫,紫,紫色,紫,紫
19,237,250,zh,青色,青,青,水蓝色,水蓝,水蓝
185,109,87,zh,棕色,棕,棕,砖红色,砖红,砖红
251,128,99,zh,珊瑚橙,珊瑚橙,珊瑚橙,珊瑚色,珊瑚,珊瑚
192,67,120,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
238,116,208,zh,粉色,粉,粉,粉色,粉,粉
41,165,224,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
172,149,18,zh,黄色,黄,黄,橄榄绿,橄榄绿,橄榄绿
121,16,92,zh,紫红色,紫红,紫红,紫色,紫,紫
237,222,233,zh,淡紫色,淡紫,淡紫,粉色,粉,粉
193,145,38,zh,黄色,黄,黄,芥末黄,芥末黄,芥末黄
31,219,244,zh,青色,青,青,天蓝色,天蓝,天蓝
193,34,92,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
143,129,140,zh,灰色,灰,灰,灰紫色,灰紫,灰紫
142,138,105,zh,卡其色,卡其,卡其,橄榄绿,橄榄绿,橄榄绿
142,237,188,zh,浅绿色,浅绿,浅绿,薄荷绿,薄荷绿,薄荷绿
39,179,26,zh,绿色,绿,绿,绿色,绿,绿
148,53,59,zh,红色,红,红,酒红色,酒红,酒红
46,30,202,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
238,110,239,zh,粉色,粉,粉,紫红色,紫红,紫红
211,238,204,zh,浅绿色,浅绿,浅绿,浅绿色,浅绿,浅绿
134,172,75,zh,绿色,绿,绿,绿色,绿,绿
142,58,142,zh,紫色,紫,紫,紫色,紫,紫
20,10,243,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
224,174,75,zh,黄色,黄,黄,姜黄色,姜黄,姜黄
231,58,7,zh,橙色,橙,橙,橙红色,橙红,橙红
30,16,52,zh,紫色,紫,紫,深紫色,深紫,深紫
249,57,140,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
211,82,147,zh,粉色,粉,粉,品红色,品红,品红
40,148,169,zh,青色,青,青,青色,青,青
236,14,137,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
181,83,228,zh,紫色,紫,紫,紫色,紫,紫
191,147,165,zh,粉色,粉,粉,烟粉色,烟粉,烟粉
242,63,160,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
39,232,73,zh,绿色,绿,绿,鲜绿色,鲜绿,鲜绿
29,226,156,zh,绿色,绿,绿,翠绿色,翠绿,翠绿
78,196,0,zh,绿色,绿,绿,绿色,绿,绿
237,123,148,zh,粉色,粉,粉,粉色,粉,粉
98,144,22,zh,绿色,绿,绿,绿色,绿,绿
18,141,115,zh,绿色,绿,绿,青色,青,青
190,237,75,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
253,75,246,zh,粉色,粉,粉,品红色,品红,品红
51,220,247,zh,青色,青,青,天蓝色,天蓝,天蓝
222,138,147,zh,粉色,粉,粉,粉红色,粉红,粉红
174,192,59,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
85,252,52,zh,绿色,绿,绿,柠檬绿,柠檬绿,柠檬绿
102,137,104,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
66,242,118,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
9,96,71,zh,绿色,绿,绿,墨绿色,墨绿,墨绿
12,84,194,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
83,248,249,zh,青色,青,青,青色,青,青
189,206,38,zh,黄绿色,黄绿,黄绿,青柠色,青柠,青柠
173,1,82,zh,洋红色,洋红,洋红,玫红色,玫瑰,玫瑰
73,72,151,zh,紫色,紫,紫,紫色,紫,紫
115,92,121,zh,紫色,紫,紫,灰紫色,灰紫,灰紫
84,90,183,zh,蓝色,蓝,蓝,蓝紫色,蓝紫,蓝紫
127,171,71,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
15,48,220,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
18,85,12,zh,绿色,绿,绿,深绿色,深绿,深绿
184,158,142,zh,米色,米,米,藕粉色,藕粉,藕粉
20,143,140,zh,青绿色,青绿,青绿,水鸭色,水鸭,水鸭
41,187,251,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
198,158,155,zh,粉色,粉,粉,豆沙色,豆沙,豆沙
176,116,246,zh,紫色,紫,紫,紫色,紫,紫
197,92,221,zh,紫色,紫,紫,紫色,紫,紫
234,173,92,zh,橙色,橙,橙,驼色,驼,驼
120,251,148,zh,绿色,绿,绿,浅绿色,浅绿,浅绿
154,68,186,zh,紫色,紫,紫,紫色,紫,紫
