r,g,b,lang_code,chatgpt_raw,chatgpt_norm,chatgpt_min,gemini_raw,gemini_norm,gemini_min
0,255,112,en,green,green,green,Kelly green,kelly green,kellygreen
0,37,255,en,blue,blue,blue,Blue,blue,blue
0,78,255,en,blue,blue,blue,Blue,blue,blue
255,237,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,235,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,218,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,201,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,158,en,green,green,green,Cyan,cyan,cyan
255,49,0,en,orange,orange,orange,Scarlet,scarlet,scarlet
131,0,255,en,purple,purple,purple,Purple,purple,purple
0,204,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,255,14,en,green,green,green,Lime green,lime green,limegreen
255,0,93,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
42,0,255,en,blue,blue,blue,Blue,blue,blue
161,255,0,en,lime,lime,lime,Lime,lime,lime
197,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
48,0,255,en,blue,blue,blue,Blue,blue,blue
41,255,0,en,green,green,green,Lime green,lime green,limegreen
255,0,201,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
255,126,0,en,orange,orange,orange,Orange,orange,orange
0,104,255,en,blue,blue,blue,Blue,blue,blue
172,0,255,en,purple,purple,purple,Purple,purple,purple
255,223,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
0,96,255,en,blue,blue,blue,Blue,blue,blue
255,0,134,en,pink,pink,pink,Hot pink,hot pink,hotpink
0,255,168,en,turquoise,turquoise,turquoise,Spring green,spring green,springgreen
0,127,255,en,blue,blue,blue,Azure,azure,azure
255,211,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
0,255,240,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,90,0,en,orange,orange,orange,Orange,orange,orange
2,255,0,en,green,green,green,Green,green,green
255,0,20,en,red,red,red,Red,red,red
171,0,255,en,purple,purple,purple,Purple,purple,purple
0,255,32,en,green,green,green,Green,green,green
0,255,13,en,green,green,green,Lime,lime,lime
151,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,19,en,red,red,red,Red,red,red
12,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,60,en,red,red,red,Red,red,red
62,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,121,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
0,255,210,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,250,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,229,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,0,203,en,magenta,magenta,magenta,Magenta,magenta,magenta
229,255,0,en,yellow,yellow,yellow,Fluorescent yellow,fluorescent yellow,fluorescentyellow
0,255,237,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,0,103,en,pink,pink,pink,Hot Pink,hot pink,hotpink
0,255,195,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,130,255,en,blue,blue,blue,Azure,azure,azure
255,249,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
239,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
29,255,0,en,green,green,green,Lime green,lime green,limegreen
0,145,255,en,blue,blue,blue,Blue,blue,blue
0,255,75,en,green,green,green,Lime green,lime green,limegreen
255,0,43,en,red,red,red,Red,red,red
215,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,0,0,en,red,red,red,Red,red,red
255,163,0,en,orange,orange,orange,Orange,orange,orange
255,0,35,en,red,red,red,Red,red,red
0,255,142,en,green,green,green,Spring green,spring green,springgreen
108,0,255,en,purple,purple,purple,Violet,violet,violet
220,255,0,en,yellow,yellow,yellow,Fluorescent yellow,fluorescent yellow,fluorescentyellow
255,90,0,en,orange,orange,orange,Orange,orange,orange
0,232,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
67,255,0,en,green,green,green,Green,green,green
0,255,157,en,mint green,mint green,mintgreen,Spring Green,spring green,springgreen
255,0,44,en,red,red,red,Red,red,red
11,255,0,en,green,green,green,Lime green,lime green,limegreen
255,0,59,en,red,red,red,Red,red,red
255,38,0,en,orange,orange,orange,Orange-red,orange-red,orangered
0,255,187,en,turquoise,turquoise,turquoise,Aqua,aqua,aqua
255,196,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
138,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,108,en,pink,pink,pink,Hot pink,hot pink,hotpink
228,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,241,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
0,255,225,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,255,14,en,green,green,green,Green,green,green
103,255,0,en,green,green,green,Lime green,lime green,limegreen
203,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,2,255,en,blue,blue,blue,Blue,blue,blue
147,0,255,en,purple,purple,purple,Purple,purple,purple
0,255,199,en,turquoise,turquoise,turquoise,cyan,cyan,cyan
175,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
184,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,255,168,en,green,green,green,Aqua,aqua,aqua
158,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
255,0,98,en,pink,pink,pink,Hot pink,hot pink,hotpink
97,0,255,en,purple,purple,purple,Violet,violet,violet
255,85,0,en,orange,orange,orange,Orange,orange,orange
0,255,109,en,green,green,green,Kelly green,kelly green,kellygreen
101,0,255,en,purple,purple,purple,Violet,violet,violet
255,157,0,en,orange,orange,orange,Orange,orange,orange
255,84,0,en,orange,orange,orange,Orange,orange,orange
0,255,98,en,green,green,green,Neon green,neon green,neongreen
0,30,255,en,blue,blue,blue,Blue,blue,blue
75,0,255,en,purple,purple,purple,Blue-violet,blue-violet,blueviolet
134,255,0,en,lime green,lime green,limegreen,Lime green,lime green,limegreen
0,255,120,en,green,green,green,Bright green,bright green,brightgreen
255,199,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
179,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
59,0,255,en,blue,blue,blue,Blue,blue,blue
255,198,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
92,0,255,en,purple,purple,purple,Violet,violet,violet
32,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,251,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,0,246,en,magenta,magenta,magenta,Magenta,magenta,magenta
92,0,255,en,purple,purple,purple,Violet,violet,violet
255,0,61,en,red,red,red,Fuchsia,fuchsia,fuchsia
145,0,255,en,purple,purple,purple,Purple,purple,purple
0,255,50,en,green,green,green,Green,green,green
49,255,0,en,lime,lime,lime,Neon green,neon green,neongreen
255,179,0,en,orange,orange,orange,Orange,orange,orange
37,255,0,en,green,green,green,Lime green,lime green,limegreen
0,255,76,en,green,green,green,Lime green,lime green,limegreen
197,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,255,37,en,green,green,green,Green,green,green
100,0,255,en,purple,purple,purple,Violet,violet,violet
0,255,194,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,255,10,en,green,green,green,Lime green,lime green,limegreen
133,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,97,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
193,0,255,en,purple,purple,purple,Electric purple,electric purple,electricpurple
0,21,255,en,blue,blue,blue,Blue,blue,blue
187,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
18,255,0,en,green,green,green,Lime,lime,lime
255,92,0,en,orange,orange,orange,Orange,orange,orange
255,0,33,en,red,red,red,Red,red,red
91,255,0,en,green,green,green,Lime green,lime green,limegreen
255,138,0,en,orange,orange,orange,Orange,orange,orange
70,0,255,en,purple,purple,purple,Electric blue,electric blue,electricblue
255,0,59,en,red,red,red,Fuchsia,fuchsia,fuchsia
104,255,0,en,green,green,green,Lime green,lime green,limegreen
0,255,161,en,green,green,green,Spring Green,spring green,springgreen
199,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,255,171,en,green,green,green,Spring Green,spring green,springgreen
218,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,245,en,cyan,cyan,cyan,Cyan,cyan,cyan
108,0,255,en,purple,purple,purple,Purple,purple,purple
8,0,255,en,blue,blue,blue,Blue,blue,blue
33,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,128,en,pink,pink,pink,Hot pink,hot pink,hotpink
66,0,255,en,blue,blue,blue,Blue-violet,blue-violet,blueviolet
255,206,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,93,en,pink,pink,pink,Hot pink,hot pink,hotpink
127,0,255,en,purple,purple,purple,Violet,violet,violet
255,240,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,193,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,16,en,green,green,green,Green,green,green
255,0,109,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
17,0,255,en,blue,blue,blue,Blue,blue,blue
86,0,255,en,purple,purple,purple,Violet,violet,violet
255,141,0,en,orange,orange,orange,Orange,orange,orange
255,209,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
192,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,70,255,en,blue,blue,blue,Blue,blue,blue
255,0,31,en,red,red,red,Red,red,red
152,0,255,en,purple,purple,purple,Purple,purple,purple
0,221,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,255,230,en,cyan,cyan,cyan,Cyan,cyan,cyan
57,255,0,en,green,green,green,Green,green,green
255,172,0,en,orange,orange,orange,Orange,orange,orange
11,255,0,en,green,green,green,Green,green,green
255,67,0,en,orange,orange,orange,Red-orange,red-orange,redorange
195,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,203,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
225,255,0,en,yellow,yellow,yellow,Neon yellow,neon yellow,neonyellow
215,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
5,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,35,en,red,red,red,Red,red,red
61,0,255,en,blue,blue,blue,Electric blue,electric blue,electricblue
87,255,0,en,green,green,green,Lime green,lime green,limegreen
0,19,255,en,blue,blue,blue,Blue,blue,blue
106,255,0,en,green,green,green,Lime green,lime green,limegreen
255,0,161,en,pink,pink,pink,Pink,pink,pink
60,255,0,en,green,green,green,Lime green,lime green,limegreen
255,134,0,en,orange,orange,orange,Orange,orange,orange
255,0,184,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,121,0,en,orange,orange,orange,Orange,orange,orange
255,120,0,en,orange,orange,orange,Orange,orange,orange
255,217,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
62,255,0,en,green,green,green,Lime green,lime green,limegreen
0,138,255,en,blue,blue,blue,Electric blue,electric blue,electricblue
255,230,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
177,0,255,en,purple,purple,purple,Purple,purple,purple
169,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,81,en,red,red,red,Hot pink,hot pink,hotpink
255,19,0,en,red,red,red,Red,red,red
255,0,145,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
243,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,208,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,255,237,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,255,17,en,green,green,green,Neon green,neon green,neongreen
