r,g,b,lang_code,human_raw,human_norm
255,0,206,en,fuchsia,fuchsia
255,51,0,en,red,red
59,0,255,en,royal blue,royal blue
255,136,0,en,orange,orange
255,0,192,en,fushia,fushia
203,255,0,en,lime green,lime
255,0,124,en,hot pink (slightly darker),hot pink (slightly darker)
255,0,231,en,magenta,magenta
255,0,168,en,hot pink,hot pink
255,251,0,en,yellow,yellow
255,0,246,en,magenta,magenta
255,0,88,en,red,red
255,0,42,en,red,red
60,0,255,en,dark blue,dark blue
136,255,0,en,yellow,yellow
255,0,245,en,purple,purple
255,175,0,en,orange,orange
76,255,0,en,yellow,yellow
255,205,0,en,gold,gold
219,255,0,en,highlighter yellow,highlighter yellow
148,0,255,en,lilac,lilac
255,0,247,en,hot pink,hot pink
255,164,0,en,tangerine,tangerine
255,97,0,en,rust orange,rust orange
255,0,214,en,magenta,magenta
255,176,0,en,orange,orange
114,255,0,en,neon green,neon green
154,0,255,en,purple,purple
222,255,0,en,yellow,yellow
255,0,112,en,rose,rose
255,0,177,en,magenta,magenta
139,255,0,en,neon green,neon green
255,0,61,en,red,red
210,0,255,en,purple,purple
255,212,0,en,orange,orange
221,0,255,en,purple,purple
255,0,41,en,red,red
255,0,94,en,magenta,magenta
255,13,0,en,red,red
255,92,0,en,burnt orange,burnt orange
239,255,0,en,yello,yello
255,120,0,en,orange,orange
255,0,225,en,purple,purple
255,229,0,en,yellow,yellow
255,0,152,en,magenta,magenta
164,0,255,en,purple,purple
255,108,0,en,orange,orange
144,255,0,en,lime green,lime
255,0,200,en,magenta,magenta
124,0,255,en,purple,purple
196,255,0,en,yellow green,yellow green
255,0,74,en,reddish pink...,reddish pink
254,255,0,en,yellow,yellow
176,255,0,en,leaf green,leaf green
255,16,0,en,red,red
255,0,92,en,pink,pink
255,141,0,en,orange,orange
169,0,255,en,purple,purple
255,0,126,en,pink,pink
255,0,63,en,red,red
139,0,255,en,purple,purple
180,255,0,en,lime,lime
204,255,0,en,lime,lime
255,157,0,en,orange,orange
255,178,0,en,orange,orange
255,248,0,en,yellow,yellow
255,0,41,en,red,red
255,0,82,en,red pink,red pink
255,65,0,en,red,red
255,0,62,en,red,red
255,0,145,en,pink,pink
255,236,0,en,yellow,yellow
255,0,211,en,pink,pink
255,0,100,en,fuschia,fuschia
243,255,0,en,yello,yello
255,0,149,en,fuschia,fuschia
89,255,0,en,light green,light green
255,237,0,en,dark yellow,dark yellow
255,0,176,en,fuschia,fuschia
255,90,0,en,dark orange,dark orange
62,0,255,en,dark blue,dark blue
255,0,254,en,pink,pink
255,0,120,en,red pink,red pink
187,0,255,en,purple,purple
255,186,0,en,yellow,yellow
255,151,0,en,light orange,light orange
255,0,47,en,red,red
255,71,0,en,dark orange,dark orange
255,204,0,en,dirty yellow,dirty yellow
95,255,0,en,bright green,bright green
255,0,125,en,bright pink,bright pink
255,0,216,en,purple,purple
247,0,255,en,purple,purple
255,150,0,en,burnt orange,burnt orange
255,213,0,en,school bus yellow,school bus yellow
105,255,0,en,highlighter green,highlighter green
255,194,0,en,orangish yellow,orangish yellow
255,0,187,en,fuchsia,fuchsia
255,0,165,en,hot pink,hot pink
255,0,36,en,red,red
255,122,0,en,orange,orange
227,0,255,en,fuchsia,fuchsia
255,0,175,en,pink,pink
255,211,0,en,gold,gold
255,220,0,en,yellow,yellow
185,255,0,en,lime green,lime
255,246,0,en,fluorescent yellow,fluorescent yellow
255,208,0,en,goldenrod,goldenrod
143,0,255,en,violet,violet
255,180,0,en,yellow orange,yellow orange
167,0,255,en,purple,purple
255,0,231,en,fuchsia,fuchsia
255,253,0,en,yellow,yellow
255,0,124,en,hot pink,hot pink
127,255,0,en,lime green,lime
255,242,0,en,yellow,yellow
255,150,0,en,orange,orange
255,45,0,en,red,red
255,0,190,en,magenta,magenta
255,205,0,en,gold,gold
157,255,0,en,chartreuse,chartreuse
255,0,30,en,red,red
255,0,143,en,fuschia,fuschia
224,0,255,en,purple,purple
255,228,0,en,yellow,yellow
253,0,255,en,fuchsia,fuchsia
255,158,0,en,tangerine,tangerine
29,0,255,en,royal blue,royal blue
255,0,132,en,pink,pink
255,230,0,en,yellow,yellow
255,122,0,en,orange,orange
255,0,172,en,sangria,sangria
255,109,0,en,orange,orange
255,0,211,en,pink,pink
255,127,0,en,orange,orange
255,163,0,en,light orange,light orange
255,199,0,en,yellow,yellow
255,0,45,en,red,red
170,0,255,en,purple,purple
255,63,0,en,crimson,crimson
255,84,0,en,dark orange,dark orange
255,0,235,en,magenta,magenta
255,182,0,en,gold,gold
50,0,255,en,royal blue,royal blue
189,255,0,en,yellow,yellow
255,0,207,en,fuchsia,fuchsia
202,255,0,en,yellow,yellow
255,0,234,en,fuchsia,fuchsia
255,0,75,en,punch,punch
128,0,255,en,purple,purple
255,0,43,en,red,red
255,169,0,en,orange,orange
255,0,212,en,pink,pink
255,0,80,en,pink,pink
147,0,255,en,purple,purple
255,105,0,en,orange,orange
205,0,255,en,fuchsia,fuchsia
255,0,188,en,magenta,magenta
213,255,0,en,"florescent ye,low","florescent ye,low"
174,255,0,en,lime,lime
255,186,0,en,golden yellow,golden yellow
255,0,20,en,bright red,bright red
255,214,0,en,light gold yellow,light gold yellow
255,109,0,en,copper,copper
255,0,117,en,dark pink,dark pink
255,0,170,en,magenta,magenta
253,255,0,en,yellow,yellow
255,0,52,en,red,red
255,0,116,en,dark pink,dark pink
81,255,0,en,yellow green,yellow green
255,0,190,en,pink,pink
255,0,167,en,magenta,magenta
74,0,255,en,violet,violet
255,189,0,en,mustard,mustard
255,0,81,en,punch,punch
255,49,0,en,burnt orange,burnt orange
194,0,255,en,purple,purple
62,255,0,en,light green,light green
255,108,0,en,orange,orange
236,255,0,en,yellow,yellow
162,255,0,en,olive,olive
255,246,0,en,yellow,yellow
255,140,0,en,orange,orange
255,0,84,en,pinkish red,pinkish red
54,255,0,en,neon green,neon green
144,0,255,en,purple,purple
255,0,62,en,red,red
255,0,173,en,magenta,magenta
160,0,255,en,purple,purple
170,255,0,en,lime green,lime
211,255,0,en,yellow green,yellow green
190,0,255,en,light purple,light purple
255,61,0,en,red orange,red orange
255,214,0,en,gold,gold
222,0,255,en,violet,violet
255,0,89,en,pink,pink
92,255,0,en,light lime green,light lime green
255,65,0,en,red,red
255,153,0,en,copper,copper
255,0,215,en,magenta,magenta
255,0,110,en,dark pink,dark pink
78,255,0,en,lime green,lime
255,0,82,en,pink,pink
255,0,179,en,pink,pink
255,0,11,en,red,red
220,255,0,en,yellow,yellow
255,73,0,en,orange,orange
255,0,137,en,pink,pink
26,255,0,en,lime green,lime
255,0,88,en,dark pink,dark pink
255,0,153,en,hot pink,hot pink
236,255,0,en,chartreuse,chartreuse
255,219,0,en,yellow,yellow
255,198,0,en,goldenrod,goldenrod
255,0,177,en,pink,pink
255,228,0,en,yellow,yellow
56,0,255,en,blue,blue
29,255,0,en,green,green
210,255,0,en,green yellow,green yellow
255,0,91,en,red,red
255,0,10,en,red,red
255,0,109,en,magenta,magenta
255,6,0,en,red,red
151,0,255,en,purple,purple
255,0,245,en,magenta,magenta
255,0,207,en,magenta,magenta
207,0,255,en,purple,purple
255,0,213,en,magenta,magenta
255,86,0,en,blood orange,blood orange
228,255,0,en,urine,urine
225,0,255,en,purple,purple
255,192,0,en,gold,gold
255,0,183,en,magenta,magenta
255,120,0,en,orange,orange
102,255,0,en,light green,light green
255,0,42,en,red,red
80,0,255,en,royal blue,royal blue
255,0,66,en,magenta,magenta
255,177,0,en,gold,gold
243,0,255,en,magenta,magenta
138,255,0,en,lime green,lime
255,106,0,en,orange,orange
146,255,0,en,light greenish,light greenish
255,31,0,en,red,red
255,0,80,en,red purple,red purple
255,0,104,en,red purple,red purple
255,0,154,en,magenta,magenta
255,0,141,en,magenta,magenta
111,0,255,en,purple,purple
255,57,0,en,red,red
255,138,0,en,burnt orange,burnt orange
218,0,255,en,magenta,magenta
255,0,236,en,magenta,magenta
255,0,43,en,red,red
255,157,0,en,burnt orange,burnt orange
255,205,0,en,yellow,yellow
189,0,255,en,purple,purple
255,180,0,en,gold,gold
231,255,0,en,yellow,yellow
255,227,0,en,yellow gold,yellow gold
255,184,0,en,gold,gold
255,0,171,en,pink,pink
100,255,0,en,green,green
255,0,114,en,magenta,magenta
255,217,0,en,yellow,yellow
247,255,0,en,bright yellow,bright yellow
255,143,0,en,orange,orange
222,255,0,en,greenish yellow,greenish yellow
150,0,255,en,purple,purple
255,0,14,en,red,red
255,0,156,en,pink,pink
181,255,0,en,yellow green,yellow green
255,0,131,en,pink,pink
255,0,76,en,red,red
63,255,0,en,green,green
159,0,255,en,violet,violet
254,255,0,en,yellow,yellow
255,117,0,en,burnt orange,burnt orange
202,0,255,en,magenta,magenta
255,0,71,en,red,red
255,0,83,en,pink,pink
255,55,0,en,orange,orange
255,149,0,en,orange,orange
99,255,0,en,green,green
52,0,255,en,blue,blue
255,251,0,en,yellow,yellow
255,195,0,en,yellow,yellow
255,0,72,en,red,red
249,0,255,en,pink,pink
255,0,201,en,pink,pink
71,255,0,en,neon green,neon green
255,0,34,en,red,red
255,0,100,en,pinkish red,pinkish red
255,0,217,en,pink,pink
255,103,0,en,orange,orange
255,222,0,en,goldenrod,goldenrod
255,0,217,en,fuchsia,fuchsia
255,0,164,en,magenta,magenta
255,96,0,en,deep coral,deep coral
216,255,0,en,key lime pie,key lime pie
177,0,255,en,purple,purple
112,255,0,en,spring green,spring green
6,255,0,en,neon green,neon green
255,163,0,en,orange,orange
255,0,186,en,pink,pink
146,0,255,en,purple,purple
255,0,6,en,red,red
255,83,0,en,persimmon,persimmon
255,0,146,en,fuschia,fuschia
179,0,255,en,violet,violet
188,255,0,en,lime green,lime
255,0,74,en,red,red
184,255,0,en,chartreuse,chartreuse
255,163,0,en,amber,amber
147,255,0,en,yellow,yellow
255,15,0,en,red,red
87,255,0,en,yellow,yellow
255,0,218,en,blue,blue
255,0,7,en,red,red
255,0,168,en,pink,pink
255,127,0,en,orange,orange
255,223,0,en,mustard yellow,mustard
255,184,0,en,yellow orange,yellow orange
255,252,0,en,yellow,yellow
113,255,0,en,green,green
201,255,0,en,yellow green,yellow green
255,0,112,en,fuschia,fuschia
229,255,0,en,yellow,yellow
61,255,0,en,spring green,spring green
255,87,0,en,alloy orange,alloy orange
255,0,255,en,magenta,magenta
135,255,0,en,chartreuse,chartreuse
109,0,255,en,violet,violet
255,121,0,en,orange,orange
255,188,0,en,mustard yellow,mustard
251,255,0,en,yellow,yellow
157,255,0,en,lime green,lime
230,255,0,en,neon yellow,neon yellow
159,0,255,en,purple,purple
255,30,0,en,red,red
255,0,71,en,hot pink,hot pink
255,0,191,en,fuschia,fuschia
115,0,255,en,violet,violet
95,255,0,en,chartreuse,chartreuse
229,0,255,en,purple,purple
255,122,0,en,amber,amber
255,223,0,en,turmeric,turmeric
255,0,88,en,red,red
255,47,0,en,red,red
222,0,255,en,bright purple,bright purple
255,0,65,en,red,red
255,0,122,en,pink,pink
76,0,255,en,midnight blue,midnight blue
255,97,0,en,orange,orange
203,0,255,en,light purple,light purple
170,255,0,en,flourescent green,flourescent green
255,0,86,en,red,red
255,0,213,en,hot pink,hot pink
255,0,57,en,light red,light red
111,255,0,en,bright green,bright green
255,233,0,en,yellow,yellow
222,255,0,en,yellow green,yellow green
255,0,31,en,red,red
161,255,0,en,baby grass green,baby grass green
254,0,255,en,purple,purple
255,0,130,en,hot pink,hot pink
255,0,22,en,red,red
255,0,85,en,pink,pink
255,0,186,en,fuschia,fuschia
255,71,0,en,persimmon,persimmon
255,203,0,en,turmeric,turmeric
255,0,120,en,rose,rose
255,251,0,en,yellow,yellow
255,0,39,en,red,red
255,0,213,en,fuschia,fuschia
67,0,255,en,dark blue,dark blue
255,114,0,en,orange,orange
179,255,0,en,apple green,apple green
183,0,255,en,purple,purple
255,229,0,en,goldenrod,goldenrod
255,45,0,en,red,red
255,208,0,en,gold,gold
255,0,170,en,pink,pink
255,211,0,en,yellow gold,yellow gold
255,0,207,en,magenta,magenta
141,0,255,en,violet,violet
255,59,0,en,red orange,red orange
255,173,0,en,gold,gold
255,0,133,en,pink red,pink red
255,95,0,en,orange red,orange-red
255,0,241,en,pinkish purple,pinkish purple
138,0,255,en,purple,purple
255,152,0,en,orange,orange
255,0,152,en,pink,pink
116,255,0,en,lime green,lime
241,255,0,en,yellow,yellow
255,0,136,en,hot pink,hot pink
255,0,53,en,red,red
255,0,34,en,red,red
197,255,0,en,yellow green,yellow green
255,0,204,en,hot pink,hot pink
234,0,255,en,purplish pink,purplish pink
255,0,95,en,strawberry,strawberry
255,134,0,en,orange,orange
255,251,0,en,yellow,yellow
255,0,188,en,magenta,magenta
255,232,0,en,cadmium yellow,cadmium yellow
255,0,109,en,rose,rose
255,0,145,en,pink,pink
230,255,0,en,chartreuse,chartreuse
42,0,255,en,cobalt blue,cobalt blue
254,0,255,en,magenta,magenta
255,0,232,en,magenta,magenta
255,0,72,en,red,red
255,115,0,en,tangerine,tangerine
255,0,20,en,cadmium red,cadmium red
255,137,0,en,orange,orange
144,0,255,en,purple,purple
255,163,0,en,yellow orange,yellow orange
255,10,0,en,red,red
227,255,0,en,neon yellow,neon yellow
255,0,165,en,hot pink,hot pink
255,182,0,en,marigold,marigold
255,79,0,en,bright orange,bright orange
255,0,221,en,magenta,magenta
220,0,255,en,periwinkle,periwinkle
180,0,255,en,purple,purple
255,0,74,en,cherry red,cherry red
164,255,0,en,chartreuse,chartreuse
197,255,0,en,neon yellow,neon yellow
109,0,255,en,indigo,indigo
255,193,0,en,gold,gold
255,0,125,en,fuschia,fuschia
255,140,0,en,orange,orange
190,255,0,en,lime,lime
255,0,100,en,red,red
162,0,255,en,purple,purple
255,0,176,en,pink,pink
255,0,46,en,red,red
255,209,0,en,yellow,yellow
255,0,131,en,fuchsia,fuchsia
211,0,255,en,purple,purple
255,0,117,en,magenta,magenta
239,0,255,en,fuscia,fuscia
182,255,0,en,puke green,puke green
255,240,0,en,gold,gold
255,0,96,en,magenta,magenta
89,0,255,en,blue,blue
238,255,0,en,neon yellow,neon yellow
255,123,0,en,orange,orange
149,255,0,en,cyan,cyan
255,195,0,en,gold,gold
95,255,0,en,neon green,neon green
255,0,186,en,magenta,magenta
255,84,0,en,orange red,orange-red
255,0,92,en,magenta pink,magenta pink
224,0,255,en,purple,purple
245,255,0,en,yellow,yellow
24,0,255,en,blue,blue
255,146,0,en,orange,orange
203,0,255,en,purple,purple
255,0,156,en,fusia,fusia
255,0,233,en,magenta,magenta
255,0,141,en,fusia,fusia
255,0,24,en,red,red
255,0,51,en,red,red
134,0,255,en,violet,violet
124,255,0,en,chartreuse,chartreuse
255,0,119,en,pink,pink
157,255,0,en,chartreuse,chartreuse
176,0,255,en,purple,purple
255,198,0,en,yellow orange,yellow orange
255,0,244,en,fushsia,fushsia
255,90,0,en,orange,orange
255,25,0,en,red,red
160,255,0,en,lime,lime
255,0,55,en,red,red
255,219,0,en,yellow,yellow
255,0,155,en,pink,pink
255,181,0,en,orange yellow,orange yellow
64,255,0,en,green,green
255,117,0,en,orange,orange
255,138,0,en,tangerine,tangerine
255,220,0,en,yellow,yellow
143,255,0,en,neon green,neon green
255,0,98,en,hot pink,hot pink
255,205,0,en,yellow,yellow
255,0,190,en,hot pink,hot pink
213,0,255,en,purple,purple
255,61,0,en,red/orange,redorange
255,170,0,en,orange,orange
220,255,0,en,light lime,light lime
35,0,255,en,blue,blue
255,132,0,en,sienna,sienna
251,0,255,en,magenta,magenta
255,0,89,en,red,red
255,0,146,en,magenta,magenta
255,82,0,en,orange,orange
189,255,0,en,puke green,puke green
255,253,0,en,yellow gold,yellow gold
119,0,255,en,purple,purple
255,180,0,en,orange gold,orange gold
255,194,0,en,orange gold,orange gold
255,0,97,en,fuschia,fuschia
255,0,8,en,red,red
255,0,228,en,hot pink,hot pink
124,255,0,en,neon green,neon green
255,156,0,en,burnt orange,burnt orange
221,0,255,en,light purple,light purple
255,11,0,en,dark red,dark red
142,0,255,en,purple,purple
255,0,132,en,hot pink,hot pink
255,223,0,en,gold,gold
255,0,45,en,red,red
255,225,0,en,yellow,yellow
242,255,0,en,lemon,lemon
150,255,0,en,lime,lime
120,255,0,en,dark lime green,dark lime green
255,108,0,en,orange,orange
255,0,158,en,hot pink,hot pink
202,0,255,en,neon purple,neon purple
235,0,255,en,light purple,light purple
137,0,255,en,purple,purple
255,0,139,en,pink,pink
255,163,0,en,orange,orange
255,198,0,en,goldenrod,goldenrod
255,0,77,en,red,red
255,0,30,en,red,red
225,0,255,en,bright purple,bright purple
255,141,0,en,orange,orange
255,0,168,en,pink,pink
255,0,93,en,red,red
152,255,0,en,neon green,neon green
255,250,0,en,yellow,yellow
255,116,0,en,dark orange,dark orange
32,0,255,en,royal blue,royal blue
255,0,173,en,fuschia,fuschia
255,0,60,en,red,red
255,242,0,en,dark yellow,dark yellow
255,0,201,en,hot pink,hot pink
214,0,255,en,violet,violet
255,0,243,en,fuscia,fuscia
255,124,0,en,orange,orange
255,18,0,en,red,red
255,0,184,en,magenta,magenta
255,0,64,en,dark hot pink,dark hot pink
255,0,26,en,dark red,dark red
43,255,0,en,green,green
212,255,0,en,lime,lime
255,245,0,en,yellow,yellow
248,0,255,en,neon purple,neon purple
255,0,71,en,red,red
104,0,255,en,muted blue,muted blue
255,0,121,en,pink,pink
255,0,220,en,magenta,magenta
58,255,0,en,neon green,neon green
255,0,6,en,red,red
255,0,142,en,dark pink,dark pink
255,0,203,en,neon pink,neon pink
209,0,255,en,bright violet,bright violet
255,0,243,en,neon pink,neon pink
255,113,0,en,orange,orange
255,46,0,en,bright red,bright red
255,0,52,en,apple red,apple red
255,123,0,en,orange,orange
255,98,0,en,burnt orange,burnt orange
255,228,0,en,amarillo,amarillo
255,0,97,en,fushia,fushia
255,250,0,en,yello,yello
211,255,0,en,neon green,neon green
255,0,129,en,pink,pink
181,0,255,en,bright purple,bright purple
255,192,0,en,golden yellow,golden yellow
255,0,125,en,dark pink,dark pink
255,0,29,en,red,red
210,255,0,en,lemon lime,lemon lime
255,248,0,en,yellow,yellow
255,159,0,en,orange,orange
255,0,200,en,magenta,magenta
255,0,146,en,pink,pink
255,114,0,en,red orange,red orange
255,0,96,en,pink red,pink red
255,151,0,en,burnt orange,burnt orange
255,169,0,en,light orange,light orange
255,247,0,en,yellow,yellow
87,255,0,en,bright green,bright green
255,238,0,en,yellow,yellow
127,0,255,en,purple,purple
225,255,0,en,neon yellow,neon yellow
255,254,0,en,yellow,yellow
255,0,193,en,magenta,magenta
106,0,255,en,blue,blue
255,0,64,en,red,red
255,225,0,en,gold,gold
79,0,255,en,blue,blue
197,255,0,en,lime green,lime
255,210,0,en,orange yellow,orange yellow
255,177,0,en,orange,orange
255,0,175,en,magenta,magenta
255,0,120,en,magenta,magenta
255,0,94,en,orange red,orange-red
169,255,0,en,neon green,neon green
255,0,78,en,orange red,orange-red
255,0,205,en,hot pink,hot pink
255,34,0,en,red,red
247,255,0,en,pineapple,pineapple
199,0,255,en,puple,puple
255,237,0,en,yellow,yellow
174,255,0,en,lime,lime
255,66,0,en,red,red
255,212,0,en,gold,gold
90,0,255,en,cobalt blue,cobalt blue
255,165,0,en,orange,orange
247,0,255,en,magenta,magenta
233,255,0,en,yellow,yellow
110,0,255,en,purple,purple
255,0,41,en,red,red
255,0,227,en,fushia,fushia
250,255,0,en,yellow,yellow
255,0,134,en,pink,pink
255,0,97,en,dark pink,dark pink
255,88,0,en,orange,orange
241,0,255,en,purple,purple
156,255,0,en,yellow green,yellow green
255,89,0,en,orange,orange
255,0,33,en,red,red
206,0,255,en,purple,purple
152,0,255,en,indigo,indigo
255,232,0,en,pikachu,pikachu
255,177,0,en,orange,orange
174,0,255,en,indigo,indigo
255,0,148,en,magenta,magenta
255,0,39,en,red,red
71,255,0,en,neon green,neon green
255,206,0,en,pikachu orange,pikachu orange
197,255,0,en,lime,lime
255,0,223,en,magenta,magenta
255,119,0,en,orange,orange
255,117,0,en,oragne,oragne
255,0,250,en,magenta,magenta
81,255,0,en,green,green
255,0,180,en,pink,pink
158,255,0,en,lime green,lime
255,0,39,en,red,red
255,76,0,en,pumpkin,pumpkin
255,0,173,en,dark pink,dark pink
255,144,0,en,orange,orange
222,255,0,en,peuce,peuce
112,0,255,en,violet,violet
253,255,0,en,yellow,yellow
255,81,0,en,red,red
74,0,255,en,blue,blue
255,0,195,en,fushia,fushia
255,164,0,en,orange,orange
124,0,255,en,blue,blue
121,255,0,en,green,green
255,0,165,en,fushia,fushia
255,0,183,en,hot pink,hot pink
196,0,255,en,purple,purple
255,173,0,en,yellow orange,yellow orange
255,73,0,en,red orange,red orange
255,0,250,en,pink,pink
255,113,0,en,orange,orange
159,255,0,en,highlighter yellow,highlighter yellow
255,0,116,en,pink,pink
255,0,44,en,red,red
255,0,106,en,pink,pink
255,0,41,en,red,red
