r,g,b,lang_code,chatgpt_raw,chatgpt_norm,chatgpt_min,gemini_raw,gemini_norm,gemini_min
0,106,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
111,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,104,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
155,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,214,255,zh,青色,青,青,天蓝色,天蓝,天蓝
0,196,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,15,0,zh,红色,红,红,红色,红,红
0,104,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,142,0,zh,橙色,橙,橙,橙色,橙,橙
255,229,0,zh,黄色,黄,黄,黄色,黄,黄
0,152,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,201,zh,青绿色,青绿,青绿,青色,青,青
60,255,0,zh,绿色,绿,绿,绿色,绿,绿
179,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,138,0,zh,橙色,橙,橙,橙色,橙,橙
0,192,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,201,zh,洋红,洋红,洋红,品红色,品红,品红
14,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,19,0,zh,红色,红,红,红色,红,红
255,0,72,zh,红色,红,红,洋红色,洋红,洋红
115,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,168,zh,品红,品红,品红,品红色,品红,品红
255,76,0,zh,橙色,橙,橙,橙色,橙,橙
169,0,255,zh,紫色,紫,紫,紫色,紫,紫
24,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,102,zh,绿色,绿,绿,绿色,绿,绿
127,255,0,zh,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
0,255,126,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,255,179,zh,绿色,绿,绿,青色,青,青
79,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,118,zh,绿色,绿,绿,绿色,绿,绿
255,0,39,zh,红色,红,红,红色,红,红
0,255,244,zh,青色,青,青,青色,青,青
31,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,79,0,zh,橙色,橙,橙,橙色,橙,橙
255,241,0,zh,黄色,黄,黄,黄色,黄,黄
0,18,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,178,zh,绿色,绿,绿,青色,青,青
232,0,255,zh,洋红,洋红,洋红,洋红色,洋红,洋红
255,213,0,zh,黄色,黄,黄,黄色,黄,黄
255,93,0,zh,橙色,橙,橙,橙色,橙,橙
255,232,0,zh,黄色,黄,黄,黄色,黄,黄
32,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
32,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
206,255,0,zh,荧光黄,荧光黄,荧光黄,柠檬黄,柠檬黄,柠檬黄
0,255,252,zh,青色,青,青,青色,青,青
56,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,71,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,49,zh,绿色,绿,绿,绿色,绿,绿
0,255,89,zh,绿色,绿,绿,绿色,绿,绿
255,0,106,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
0,59,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,233,zh,青色,青,青,青色,青,青
255,0,77,zh,红色,红,红,玫红色,玫瑰,玫瑰
255,0,9,zh,红色,红,红,红色,红,红
0,255,87,zh,绿色,绿,绿,亮绿色,亮绿,亮绿
90,0,255,zh,紫色,紫,紫,紫罗兰色,紫罗蓝,紫罗蓝
5,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,218,0,zh,黄色,黄,黄,黄色,黄,黄
208,255,0,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
73,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,47,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,79,zh,绿色,绿,绿,绿色,绿,绿
0,204,255,zh,青色,青,青,蓝色,蓝,蓝
255,0,150,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
0,47,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,199,0,zh,黄色,黄,黄,黄色,黄,黄
220,0,255,zh,紫色,紫,紫,洋红色,洋红,洋红
212,0,255,zh,紫色,紫,紫,品红,品红,品红
0,255,192,zh,青绿色,青绿,青绿,青色,青,青
246,255,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,81,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
171,0,255,zh,紫色,紫,紫,紫色,紫,紫
198,255,0,zh,荧光黄绿色,荧光黄绿,荧光黄绿,荧光绿,荧光绿,荧光绿
142,255,0,zh,黄绿色,黄绿,黄绿,柠檬绿,柠檬绿,柠檬绿
0,255,156,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,36,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,218,255,zh,青色,青,青,青色,青,青
153,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,65,0,zh,橙色,橙,橙,橙色,橙,橙
0,255,199,zh,青色,青,青,青色,青,青
0,255,122,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,255,249,zh,青色,青,青,青色,青,青
75,0,255,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
0,255,217,zh,青绿色,青绿,青绿,青色,青,青
0,255,16,zh,绿色,绿,绿,绿色,绿,绿
0,175,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,77,0,zh,橙色,橙,橙,橙色,橙,橙
255,41,0,zh,红色,红,红,橘红色,橘红,橘红
0,172,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
31,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,255,48,zh,绿色,绿,绿,绿色,绿,绿
0,41,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,123,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,226,255,zh,青色,青,青,青色,青,青
255,0,184,zh,品红,品红,品红,洋红色,洋红,洋红
0,255,208,zh,青绿色,青绿,青绿,青色,青,青
0,255,39,zh,绿色,绿,绿,绿色,绿,绿
0,255,255,zh,青色,青,青,青色,青,青
255,154,0,zh,橙色,橙,橙,橙色,橙,橙
157,0,255,zh,紫色,紫,紫,紫色,紫,紫
163,255,0,zh,黄绿色,黄绿,黄绿,荧光绿,荧光绿,荧光绿
189,0,255,zh,紫色,紫,紫,品红,品红,品红
255,243,0,zh,黄色,黄,黄,黄色,黄,黄
24,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,195,0,zh,橙色,橙,橙,黄色,黄,黄
255,0,39,zh,红色,红,红,红色,红,红
87,255,0,zh,亮绿色,亮绿,亮绿,绿色,绿,绿
69,0,255,zh,紫色,紫,紫,蓝色,蓝,蓝
228,0,255,zh,洋红,洋红,洋红,品红,品红,品红
247,0,255,zh,品红,品红,品红,品红,品红,品红
9,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,147,0,zh,橙色,橙,橙,橙色,橙,橙
255,0,22,zh,红色,红,红,红色,红,红
0,255,52,zh,绿色,绿,绿,绿色,绿,绿
0,19,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,68,zh,绿色,绿,绿,绿色,绿,绿
255,225,0,zh,黄色,黄,黄,黄色,黄,黄
5,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
242,255,0,zh,黄色,黄,黄,黄色,黄,黄
211,255,0,zh,荧光黄,荧光黄,荧光黄,荧光黄,荧光黄,荧光黄
255,0,204,zh,洋红,洋红,洋红,洋红色,洋红,洋红
9,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
70,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,247,0,zh,黄色,黄,黄,黄色,黄,黄
255,12,0,zh,红色,红,红,红色,红,红
255,0,182,zh,品红,品红,品红,洋红色,洋红,洋红
255,169,0,zh,橙色,橙,橙,橙色,橙,橙
0,150,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
235,0,255,zh,品红,品红,品红,品红,品红,品红
0,42,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,235,zh,青色,青,青,青色,青,青
0,255,213,zh,青绿色,青绿,青绿,青色,青,青
0,255,21,zh,绿色,绿,绿,绿色,绿,绿
255,253,0,zh,黄色,黄,黄,黄色,黄,黄
59,0,255,zh,紫色,紫,紫,蓝色,蓝,蓝
255,0,251,zh,品红,品红,品红,品红色,品红,品红
0,43,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,49,0,zh,橙色,橙,橙,橘红色,橘红,橘红
0,255,104,zh,绿色,绿,绿,绿色,绿,绿
0,164,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
139,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,71,zh,红色,红,红,玫红色,玫瑰,玫瑰
255,0,188,zh,品红,品红,品红,品红色,品红,品红
0,219,255,zh,青色,青,青,青色,青,青
0,110,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
122,255,0,zh,亮绿色,亮绿,亮绿,荧光绿,荧光绿,荧光绿
173,255,0,zh,荧光绿,荧光绿,荧光绿,柠檬绿,柠檬绿,柠檬绿
255,198,0,zh,黄色,黄,黄,黄色,黄,黄
0,221,255,zh,青色,青,青,青色,青,青
0,255,92,zh,绿色,绿,绿,绿色,绿,绿
112,255,0,zh,绿色,绿,绿,绿色,绿,绿
75,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
69,0,255,zh,紫色,紫,紫,蓝色,蓝,蓝
0,154,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,78,0,zh,橙色,橙,橙,橙色,橙,橙
255,134,0,zh,橙色,橙,橙,橙色,橙,橙
0,255,2,zh,绿色,绿,绿,绿色,绿,绿
255,0,168,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
0,77,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,36,zh,红色,红,红,红色,红,红
33,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
189,255,0,zh,黄绿色,黄绿,黄绿,荧光绿,荧光绿,荧光绿
255,0,90,zh,洋红,洋红,洋红,洋红色,洋红,洋红
0,255,41,zh,绿色,绿,绿,绿色,绿,绿
255,16,0,zh,红色,红,红,红色,红,红
0,249,255,zh,青色,青,青,青色,青,青
255,0,153,zh,品红,品红,品红,品红,品红,品红
0,255,74,zh,绿色,绿,绿,绿色,绿,绿
255,0,1,zh,红色,红,红,红色,红,红
0,180,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,189,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,154,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,197,zh,青绿色,青绿,青绿,青色,青,青
0,255,103,zh,绿色,绿,绿,亮绿色,亮绿,亮绿
17,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,182,zh,青绿色,青绿,青绿,青色,青,青
255,0,125,zh,品红,品红,品红,品红色,品红,品红
0,209,255,zh,青色,青,青,天蓝色,天蓝,天蓝
104,0,255,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
241,255,0,zh,黄色,黄,黄,黄色,黄,黄
201,255,0,zh,黄绿色,黄绿,黄绿,柠檬绿,柠檬绿,柠檬绿
255,68,0,zh,橙色,橙,橙,朱红色,朱红,朱红
0,255,15,zh,绿色,绿,绿,绿色,绿,绿
12,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,207,zh,洋红色,洋红,洋红,玫红色,玫瑰,玫瑰
113,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
255,0,151,zh,品红,品红,品红,洋红色,洋红,洋红
85,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,26,0,zh,红色,红,红,红色,红,红
255,177,0,zh,橙色,橙,橙,橙色,橙,橙
0,69,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
176,255,0,zh,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
255,79,0,zh,橙色,橙,橙,橙色,橙,橙
255,0,126,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
255,59,0,zh,橙色,橙,橙,橘红色,橘红,橘红
235,0,255,zh,品红,品红,品红,品红色,品红,品红
255,196,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,56,zh,红色,红,红,红色,红,红
178,255,0,zh,荧光绿,荧光绿,荧光绿,柠檬绿,柠檬绿,柠檬绿
0,255,136,zh,绿色,绿,绿,绿色,绿,绿
0,255,97,zh,绿色,绿,绿,绿色,绿,绿
0,255,170,zh,绿色,绿,绿,薄荷绿,薄荷绿,薄荷绿
0,255,169,zh,绿色,绿,绿,青色,青,青
0,255,113,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,255,27,zh,绿色,绿,绿,绿色,绿,绿
211,0,255,zh,紫色,紫,紫,品红色,品红,品红
255,0,222,zh,品红,品红,品红,粉色,粉,粉
0,119,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,203,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
0,255,59,zh,绿色,绿,绿,绿色,绿,绿
2,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,0,29,zh,红色,红,红,红色,红,红
0,255,244,zh,青色,青,青,青色,青,青
0,255,178,zh,青绿色,青绿,青绿,青色,青,青
36,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,255,79,zh,绿色,绿,绿,亮绿色,亮绿,亮绿
192,255,0,zh,黄绿色,黄绿,黄绿,荧光绿,荧光绿,荧光绿
0,255,151,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,165,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
240,255,0,zh,黄色,黄,黄,黄色,黄,黄
181,255,0,zh,黄绿色,黄绿,黄绿,荧光绿,荧光绿,荧光绿
255,53,0,zh,橙色,橙,橙,橙色,橙,橙
255,254,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,210,zh,品红,品红,品红,洋红色,洋红,洋红
255,0,158,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
48,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,120,255,zh,蓝色,蓝,蓝,宝蓝色,宝蓝,宝蓝
0,213,255,zh,青色,青,青,蔚蓝色,蔚蓝,蔚蓝
255,0,204,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
255,103,0,zh,橙色,橙,橙,橙色,橙,橙
255,0,213,zh,洋红,洋红,洋红,品红,品红,品红
218,0,255,zh,紫色,紫,紫,品红色,品红,品红
90,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,120,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
95,0,255,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
255,192,0,zh,黄色,黄,黄,金黄色,金黄,金黄
255,8,0,zh,红色,红,红,红色,红,红
255,0,204,zh,品红,品红,品红,品红色,品红,品红
188,0,255,zh,紫色,紫,紫,紫色,紫,紫
237,0,255,zh,紫色,紫,紫,洋红色,洋红,洋红
255,0,82,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
0,150,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,22,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
174,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
255,0,10,zh,红色,红,红,红色,红,红
0,204,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
255,0,92,zh,粉色,粉,粉,洋红色,洋红,洋红
255,31,0,zh,红色,红,红,红色,红,红
22,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
255,211,0,zh,黄色,黄,黄,黄色,黄,黄
172,255,0,zh,荧光绿,荧光绿,荧光绿,柠檬绿,柠檬绿,柠檬绿
169,255,0,zh,亮绿色,亮绿,亮绿,柠檬绿,柠檬绿,柠檬绿
93,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,0,73,zh,红色,红,红,玫红色,玫瑰,玫瑰
255,8,0,zh,红色,红,红,红色,红,红
129,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
255,0,94,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
0,105,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
128,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,211,0,zh,黄色,黄,黄,黄色,黄,黄
157,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,143,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
159,255,0,zh,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
255,215,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,210,zh,品红,品红,品红,洋红色,洋红,洋红
0,221,255,zh,青色,青,青,青色,青,青
102,255,0,zh,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
0,60,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
183,0,255,zh,紫色,紫,紫,紫色,紫,紫
104,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,36,zh,红色,红,红,红色,红,红
0,226,255,zh,青色,青,青,青色,青,青
0,255,139,zh,绿色,绿,绿,绿色,绿,绿
88,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,204,255,zh,青色,青,青,青色,青,青
255,0,46,zh,红色,红,红,红色,红,红
0,25,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
164,255,0,zh,亮绿色,亮绿,亮绿,黄绿色,黄绿,黄绿
63,0,255,zh,紫色,紫,紫,蓝色,蓝,蓝
147,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,0,zh,红色,红,红,红色,红,红
0,216,255,zh,青色,青,青,青色,青,青
156,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,0,27,zh,红色,红,红,红色,红,红
255,150,0,zh,橙色,橙,橙,橙色,橙,橙
132,0,255,zh,紫色,紫,紫,紫色,紫,紫
79,0,255,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
0,154,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
31,255,0,zh,绿色,绿,绿,绿色,绿,绿
235,255,0,zh,黄色,黄,黄,黄色,黄,黄
255,34,0,zh,橙色,橙,橙,红色,红,红
255,166,0,zh,橙色,橙,橙,橙色,橙,橙
198,255,0,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
255,155,0,zh,橙色,橙,橙,橙色,橙,橙
0,175,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
234,0,255,zh,紫色,紫,紫,洋红色,洋红,洋红
5,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,188,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,19,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
233,0,255,zh,品红,品红,品红,品红色,品红,品红
255,5,0,zh,红色,红,红,红色,红,红
0,255,77,zh,绿色,绿,绿,绿色,绿,绿
255,228,0,zh,黄色,黄,黄,黄色,黄,黄
0,255,214,zh,青色,青,青,青色,青,青
0,255,180,zh,绿色,绿,绿,青色,青,青
255,0,55,zh,红色,红,红,红色,红,红
0,255,43,zh,绿色,绿,绿,绿色,绿,绿
255,0,170,zh,品红,品红,品红,品红色,品红,品红
255,108,0,zh,橙色,橙,橙,橙色,橙,橙
255,100,0,zh,橙色,橙,橙,橙色,橙,橙
255,5,0,zh,红色,红,红,红色,红,红
0,255,16,zh,绿色,绿,绿,绿色,绿,绿
0,255,100,zh,绿色,绿,绿,绿色,绿,绿
228,255,0,zh,黄色,黄,黄,黄色,黄,黄
0,163,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,148,0,zh,橙色,橙,橙,橙色,橙,橙
66,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,227,255,zh,青色,青,青,青色,青,青
189,0,255,zh,紫色,紫,紫,品红色,品红,品红
0,255,157,zh,青绿色,青绿,青绿,青色,青,青
0,111,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,114,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
181,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,107,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,66,0,zh,橙色,橙,橙,橙色,橙,橙
0,255,87,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
162,255,0,zh,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
159,255,0,zh,荧光绿色,荧光绿,荧光绿,荧光绿,荧光绿,荧光绿
0,255,175,zh,青绿色,青绿,青绿,青绿色,青绿,青绿
0,3,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,14,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
206,0,255,zh,紫色,紫,紫,品红色,品红,品红
192,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,59,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
247,255,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,212,zh,品红,品红,品红,洋红色,洋红,洋红
0,192,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
0,181,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
