r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
96,42,27,ko,갈색,갈,갈,밤색,밤,밤
165,244,192,ko,연두색,연두,연두,연초록색,연초록,연초록
177,24,144,ko,보라색,보라,보라,자주색,자주,자주
218,90,254,ko,보라색,보라,보라,보라색,보라,보라
185,216,189,ko,연두색,연두,연두,연두색,연두,연두
2,12,4,ko,검정,검정,검정,검정,검정,검정
137,196,108,ko,연두색,연두,연두,풀색,풀,풀
195,105,132,ko,분홍색,분홍,분홍,장미색,장미,장미
102,133,141,ko,청록색,청록,청록,청회색,청회,청회
127,15,51,ko,자주색,자주,자주,버건디색,버건디,버건디
160,67,208,ko,보라색,보라,보라,보라색,보라,보라
167,229,232,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
18,226,215,ko,청록색,청록,청록,청록색,청록,청록
142,154,113,ko,연두색,연두,연두,올리브 그린,올리브 그린,올리브그린
181,139,0,ko,머스타드색,머스타드,머스타드,겨자색,겨자,겨자
63,3,45,ko,자주색,자주,자주,가지색,가지,가지
3,229,199,ko,청록색,청록,청록,청록색,청록,청록
101,179,15,ko,연두색,연두,연두,라임색,라임,라임
102,66,102,ko,보라색,보라,보라,진보라색,진보라,진보라
149,253,108,ko,연두색,연두,연두,연두색,연두,연두
79,215,220,ko,청록색,청록,청록,청록색,청록,청록
181,233,91,ko,연두색,연두,연두,연두색,연두,연두
86,178,85,ko,초록색,초록,초록,초록색,초록,초록
143,211,198,ko,민트색,민트,민트,민트색,민트,민트
197,43,196,ko,자주색,자주,자주,자홍색,자홍,자홍
177,210,120,ko,연두색,연두,연두,연두색,연두,연두
205,32,35,ko,빨강,빨강,빨강,빨간색,빨강,빨강
198,120,174,ko,보라색,보라,보라,자주색,자주,자주
66,194,113,ko,초록색,초록,초록,초록색,초록,초록
178,67,134,ko,보라색,보라,보라,자주색,자주,자주
165,185,29,ko,연두색,연두,연두,연두색,연두,연두
85,78,2,ko,올리브색,올리브,올리브,국방색,국방,국방
108,61,10,ko,갈색,갈,갈,고동색,고동,고동
34,92,81,ko,청록색,청록,청록,짙은 청록색,짙은 청록,짙은청록
254,188,48,ko,주황색,주황,주황,주황색,주황,주황
82,199,171,ko,민트색,민트,민트,청록색,청록,청록
44,134,19,ko,초록색,초록,초록,녹색,녹,녹
113,188,106,ko,연두색,연두,연두,초록색,초록,초록
146,125,26,ko,올리브색,올리브,올리브,올리브 그린,올리브 그린,올리브그린
213,172,48,ko,노란색,노랑,노랑,겨자색,겨자,겨자
75,39,241,ko,보라색,보라,보라,울트라마린,울트라마린,울트라마린
207,194,188,ko,연회색,연회,연회,토프,토프,토프
0,73,169,ko,파란색,파랑,파랑,파란색,파랑,파랑
94,171,12,ko,연두색,연두,연두,연두색,연두,연두
239,191,48,ko,노란색,노랑,노랑,황금색,황금,황금
118,197,199,ko,청록색,청록,청록,아쿠아색,아쿠아,아쿠아
75,121,154,ko,청록색,청록,청록,회청색,회청,회청
248,142,239,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
92,12,52,ko,버건디,버건디,버건디,자주색,자주,자주
153,19,218,ko,보라색,보라,보라,보라색,보라,보라
235,231,249,ko,연보라,연보라,연보라,연보라색,연보라,연보라
5,40,66,ko,남색,남,남,감청색,감청,감청
108,227,51,ko,연두색,연두,연두,연두색,연두,연두
142,113,71,ko,갈색,갈,갈,황갈색,황갈,황갈
234,140,230,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
217,109,118,ko,분홍색,분홍,분홍,장미색,장미,장미
154,81,223,ko,보라색,보라,보라,보라색,보라,보라
252,246,45,ko,노란색,노랑,노랑,노란색,노랑,노랑
109,168,220,ko,하늘색,하늘,하늘,파란색,파랑,파랑
226,144,65,ko,주황색,주황,주황,황토색,황토,황토
57,152,75,ko,초록색,초록,초록,초록색,초록,초록
106,185,178,ko,청록색,청록,청록,청록색,청록,청록
186,59,0,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
7,186,189,ko,청록색,청록,청록,청록색,청록,청록
176,120,89,ko,갈색,갈,갈,적갈색,적갈,적갈
90,54,76,ko,자주색,자주,자주,자주색,자주,자주
96,30,120,ko,보라색,보라,보라,보라색,보라,보라
192,77,56,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
124,64,158,ko,보라색,보라,보라,보라색,보라,보라
233,17,146,ko,분홍색,분홍,분홍,마젠타,마젠타,마젠타
100,233,2,ko,연두색,연두,연두,라임색,라임,라임
108,87,130,ko,보라색,보라,보라,회보라색,회보라,회보라
103,80,47,ko,갈색,갈,갈,밤색,밤,밤
229,68,147,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
189,75,233,ko,보라색,보라,보라,보라색,보라,보라
249,7,219,ko,자홍색,자홍,자홍,마젠타색,마젠타,마젠타
59,94,23,ko,초록색,초록,초록,국방색,국방,국방
113,42,91,ko,자주색,자주,자주,자주색,자주,자주
211,200,191,ko,베이지,베이지,베이지,연회색,연회,연회
121,157,32,ko,초록색,초록,초록,올리브색,올리브,올리브
160,239,32,ko,연두색,연두,연두,연두색,연두,연두
24,163,169,ko,청록색,청록,청록,청록색,청록,청록
127,60,188,ko,보라색,보라,보라,보라색,보라,보라
48,180,111,ko,초록색,초록,초록,초록색,초록,초록
29,66,230,ko,파란색,파랑,파랑,파란색,파랑,파랑
165,61,97,ko,자주색,자주,자주,자주색,자주,자주
152,157,232,ko,연보라색,연보라,연보라,연보라색,연보라,연보라
170,85,112,ko,자주색,자주,자주,말린 장미색,말린 장미,말린장미
121,126,4,ko,올리브색,올리브,올리브,올리브색,올리브,올리브
252,173,234,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
174,147,84,ko,카키색,카키,카키,황갈색,황갈,황갈
103,250,83,ko,연두색,연두,연두,연두색,연두,연두
147,11,163,ko,보라색,보라,보라,보라색,보라,보라
42,136,184,ko,하늘색,하늘,하늘,파란색,파랑,파랑
149,117,175,ko,보라색,보라,보라,보라색,보라,보라
149,219,41,ko,연두색,연두,연두,연두색,연두,연두
130,20,77,ko,자주색,자주,자주,자주색,자주,자주
212,74,51,ko,주황색,주황,주황,적갈색,적갈,적갈
15,9,60,ko,남색,남,남,남색,남,남
136,71,123,ko,보라색,보라,보라,보라색,보라,보라
200,194,69,ko,노란색,노랑,노랑,연두색,연두,연두
228,56,232,ko,보라색,보라,보라,마젠타,마젠타,마젠타
224,209,101,ko,노란색,노랑,노랑,머스타드색,머스타드,머스타드
45,122,192,ko,파란색,파랑,파랑,파란색,파랑,파랑
120,33,59,ko,자주색,자주,자주,자주색,자주,자주
223,1,61,ko,빨간색,빨강,빨강,자홍색,자홍,자홍
186,53,130,ko,분홍색,분홍,분홍,자주색,자주,자주
189,106,156,ko,분홍색,분홍,분홍,자홍색,자홍,자홍
74,208,151,ko,민트색,민트,민트,민트색,민트,민트
26,183,212,ko,하늘색,하늘,하늘,터키색,터키,터키
2,171,152,ko,청록색,청록,청록,청록색,청록,청록
17,35,158,ko,파랑,파랑,파랑,파란색,파랑,파랑
185,188,7,ko,노란색,노랑,노랑,연두색,연두,연두
68,198,203,ko,청록색,청록,청록,터키색,터키,터키
20,234,125,ko,초록색,초록,초록,초록색,초록,초록
51,226,145,ko,초록색,초록,초록,연두색,연두,연두
213,103,56,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
217,33,80,ko,분홍색,분홍,분홍,진홍색,진홍,진홍
175,233,122,ko,연두색,연두,연두,연두색,연두,연두
121,246,245,ko,청록색,청록,청록,아쿠아색,아쿠아,아쿠아
81,200,58,ko,연두색,연두,연두,라임색,라임,라임
104,213,211,ko,민트색,민트,민트,청록색,청록,청록
158,180,204,ko,파란색,파랑,파랑,회청색,회청,회청
22,204,183,ko,청록색,청록,청록,청록색,청록,청록
233,48,47,ko,빨강,빨강,빨강,빨강,빨강,빨강
251,65,190,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
204,196,108,ko,카키색,카키,카키,올리브색,올리브,올리브
195,222,30,ko,연두색,연두,연두,연두색,연두,연두
200,118,141,ko,분홍색,분홍,분홍,말린 장미색,말린 장미,말린장미
76,138,182,ko,파란색,파랑,파랑,파란색,파랑,파랑
195,11,226,ko,자홍색,자홍,자홍,자주색,자주,자주
239,164,18,ko,주황색,주황,주황,주황색,주황,주황
92,228,228,ko,민트색,민트,민트,청록색,청록,청록
21,7,214,ko,파란색,파랑,파랑,파란색,파랑,파랑
227,148,164,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
152,212,37,ko,연두색,연두,연두,연두색,연두,연두
34,160,243,ko,파란색,파랑,파랑,파란색,파랑,파랑
127,17,171,ko,보라색,보라,보라,보라색,보라,보라
9,16,115,ko,남색,남,남,남색,남,남
115,239,47,ko,연두색,연두,연두,연두색,연두,연두
58,208,73,ko,초록색,초록,초록,라임색,라임,라임
224,124,2,ko,주황색,주황,주황,주황색,주황,주황
28,129,107,ko,청록색,청록,청록,청록색,청록,청록
239,187,12,ko,노란색,노랑,노랑,황금색,황금,황금
50,40,128,ko,보라색,보라,보라,남보라색,남보라,남보라
2,22,20,ko,청록색,청록,청록,어두운 녹색,어두운 녹,어두운녹
31,212,4,ko,초록색,초록,초록,초록색,초록,초록
97,109,167,ko,남색,남,남,청자색,청자,청자
17,191,94,ko,초록색,초록,초록,초록,초록,초록
50,1,165,ko,보라색,보라,보라,파란색,파랑,파랑
179,91,66,ko,갈색,갈,갈,벽돌색,벽돌,벽돌
71,57,68,ko,보라색,보라,보라,자주색,자주,자주
146,73,147,ko,보라색,보라,보라,보라색,보라,보라
131,178,232,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
82,133,250,ko,파란색,파랑,파랑,파란색,파랑,파랑
78,211,168,ko,민트색,민트,민트,청록색,청록,청록
20,64,243,ko,파란색,파랑,파랑,파란색,파랑,파랑
241,93,206,ko,분홍색,분홍,분홍,분홍,분홍,분홍
43,141,204,ko,파랑,파랑,파랑,파란색,파랑,파랑
220,43,149,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
222,69,206,ko,자홍색,자홍,자홍,자홍색,자홍,자홍
36,190,147,ko,청록색,청록,청록,청록색,청록,청록
239,125,186,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
152,222,94,ko,연두색,연두,연두,연두색,연두,연두
107,48,80,ko,자주색,자주,자주,자주색,자주,자주
230,109,34,ko,주황색,주황,주황,주황색,주황,주황
29,196,120,ko,초록색,초록,초록,초록,초록,초록
28,90,204,ko,파란색,파랑,파랑,파란색,파랑,파랑
7,249,157,ko,민트색,민트,민트,청록색,청록,청록
208,145,189,ko,분홍색,분홍,분홍,자주색,자주,자주
11,27,215,ko,파랑,파랑,파랑,파랑,파랑,파랑
26,140,125,ko,청록색,청록,청록,청록색,청록,청록
29,124,52,ko,초록색,초록,초록,녹색,녹,녹
68,220,144,ko,연두색,연두,연두,민트색,민트,민트
49,91,92,ko,청록색,청록,청록,짙은 청록색,짙은 청록,짙은청록
102,81,167,ko,보라색,보라,보라,보라색,보라,보라
110,195,199,ko,청록색,청록,청록,청록색,청록,청록
212,191,25,ko,노란색,노랑,노랑,황금색,황금,황금
247,16,101,ko,분홍색,분홍,분홍,진분홍,진분홍,진분홍
172,93,173,ko,보라색,보라,보라,자주색,자주,자주
38,197,7,ko,초록색,초록,초록,초록색,초록,초록
126,142,133,ko,회색,회,회,옥색,옥,옥
26,77,112,ko,청록색,청록,청록,진한 파란색,진 파랑,진파랑
144,36,149,ko,보라색,보라,보라,보라색,보라,보라
79,207,184,ko,민트색,민트,민트,청록색,청록,청록
21,96,225,ko,파랑,파랑,파랑,파랑,파랑,파랑
14,60,38,ko,초록색,초록,초록,진초록색,진초록,진초록
189,154,145,ko,분홍색,분홍,분홍,말린장미색,말린장미,말린장미
190,208,230,ko,연한 파란색,연 파랑,연파랑,하늘색,하늘,하늘
44,225,209,ko,청록색,청록,청록,청록색,청록,청록
201,120,185,ko,분홍색,분홍,분홍,자주색,자주,자주
223,103,42,ko,주황색,주황,주황,주황색,주황,주황
112,205,200,ko,청록색,청록,청록,터키옥색,터키옥,터키옥
212,239,113,ko,연두색,연두,연두,연두색,연두,연두
161,48,50,ko,적갈색,적갈,적갈,버건디,버건디,버건디
139,134,207,ko,연보라,연보라,연보라,보라색,보라,보라
253,252,208,ko,연노랑,연노랑,연노랑,연노랑,연노랑,연노랑
92,180,225,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
7,142,224,ko,파랑,파랑,파랑,파란색,파랑,파랑
157,185,186,ko,민트색,민트,민트,회청색,회청,회청
46,59,87,ko,남색,남,남,남색,남,남
81,228,69,ko,연두색,연두,연두,라임색,라임,라임
37,26,99,ko,남색,남,남,남색,남,남
111,7,141,ko,보라색,보라,보라,보라색,보라,보라
207,26,66,ko,빨강,빨강,빨강,진홍색,진홍,진홍
154,101,24,ko,갈색,갈,갈,갈색,갈,갈
54,45,159,ko,파란색,파랑,파랑,남색,남,남
28,130,223,ko,파란색,파랑,파랑,파란색,파랑,파랑
50,161,225,ko,하늘색,하늘,하늘,파란색,파랑,파랑
78,125,192,ko,파랑,파랑,파랑,파란색,파랑,파랑
241,13,160,ko,자홍색,자홍,자홍,핫핑크,핫핑크,핫핑크
26,49,3,ko,짙은 초록색,짙은 초록,짙은초록,국방색,국방,국방
212,47,80,ko,빨강,빨강,빨강,자홍색,자홍,자홍
227,29,188,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
162,250,35,ko,연두색,연두,연두,연두색,연두,연두
59,97,226,ko,파란색,파랑,파랑,파란색,파랑,파랑
71,230,114,ko,초록색,초록,초록,연두색,연두,연두
109,192,250,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
15,118,227,ko,파란색,파랑,파랑,파란색,파랑,파랑
229,46,94,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
135,93,153,ko,보라색,보라,보라,보라색,보라,보라
185,255,113,ko,연두색,연두,연두,연두색,연두,연두
230,200,43,ko,노란색,노랑,노랑,노란색,노랑,노랑
96,110,228,ko,파란색,파랑,파랑,파란색,파랑,파랑
196,138,36,ko,주황색,주황,주황,황토색,황토,황토
219,16,216,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
188,222,220,ko,연한 청록색,연 청록,연청록,하늘색,하늘,하늘
235,63,136,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
125,98,96,ko,회갈색,회갈,회갈,팥색,팥,팥
194,11,180,ko,자홍색,자홍,자홍,자주색,자주,자주
96,80,245,ko,보라색,보라,보라,파란색,파랑,파랑
8,76,109,ko,청록색,청록,청록,청록색,청록,청록
148,148,224,ko,연보라,연보라,연보라,남보라색,남보라,남보라
152,99,244,ko,보라색,보라,보라,보라색,보라,보라
196,28,203,ko,자주색,자주,자주,마젠타,마젠타,마젠타
109,45,50,ko,적갈색,적갈,적갈,자주색,자주,자주
173,246,240,ko,민트색,민트,민트,하늘색,하늘,하늘
83,100,152,ko,남색,남,남,군청색,군청,군청
26,23,201,ko,파란색,파랑,파랑,파란색,파랑,파랑
114,138,251,ko,하늘색,하늘,하늘,제비꽃색,제비꽃,제비꽃
216,243,208,ko,연두색,연두,연두,연두색,연두,연두
178,84,139,ko,분홍색,분홍,분홍,자주색,자주,자주
135,177,251,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
100,136,196,ko,파란색,파랑,파랑,파란색,파랑,파랑
166,188,252,ko,하늘색,하늘,하늘,연하늘색,연하늘,연하늘
236,252,151,ko,연두색,연두,연두,연노란색,연노랑,연노랑
54,111,164,ko,파란색,파랑,파랑,파란색,파랑,파랑
54,141,67,ko,초록색,초록,초록,초록색,초록,초록
139,220,26,ko,연두색,연두,연두,연두색,연두,연두
159,99,131,ko,분홍색,분홍,분홍,자주색,자주,자주
82,86,43,ko,올리브색,올리브,올리브,올리브색,올리브,올리브
69,58,233,ko,보라색,보라,보라,군청색,군청,군청
176,19,62,ko,적갈색,적갈,적갈,진홍색,진홍,진홍
85,140,159,ko,청록색,청록,청록,청회색,청회,청회
105,249,21,ko,연두색,연두,연두,연두색,연두,연두
185,25,234,ko,보라색,보라,보라,보라색,보라,보라
40,47,66,ko,남색,남,남,남색,남,남
223,79,19,ko,주황색,주황,주황,주황색,주황,주황
168,103,89,ko,분홍갈색,분홍갈,분홍갈,벽돌색,벽돌,벽돌
183,254,50,ko,연두색,연두,연두,라임색,라임,라임
151,232,249,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
154,215,14,ko,연두색,연두,연두,연두색,연두,연두
104,36,230,ko,보라색,보라,보라,보라색,보라,보라
93,246,99,ko,연두색,연두,연두,연두색,연두,연두
108,38,8,ko,갈색,갈,갈,고동색,고동,고동
140,163,239,ko,연파랑,연파랑,연파랑,보랏빛 파랑,보랏빛 파랑,보랏빛파랑
62,142,126,ko,청록색,청록,청록,청록색,청록,청록
1,84,74,ko,청록색,청록,청록,청록색,청록,청록
71,195,57,ko,초록색,초록,초록,연두색,연두,연두
51,207,168,ko,민트색,민트,민트,청록색,청록,청록
206,135,205,ko,보라색,보라,보라,연보라색,연보라,연보라
85,130,104,ko,초록색,초록,초록,쑥색,쑥,쑥
122,124,53,ko,카키색,카키,카키,올리브색,올리브,올리브
121,50,198,ko,보라색,보라,보라,보라색,보라,보라
152,4,154,ko,자주색,자주,자주,보라색,보라,보라
113,218,125,ko,연두색,연두,연두,연두색,연두,연두
198,84,53,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
189,194,8,ko,황록색,황록,황록,연두색,연두,연두
244,16,64,ko,빨강,빨강,빨강,핫핑크,핫핑크,핫핑크
189,73,186,ko,보라색,보라,보라,자주색,자주,자주
179,117,184,ko,보라색,보라,보라,보라색,보라,보라
106,47,37,ko,갈색,갈,갈,밤색,밤,밤
121,18,218,ko,보라색,보라,보라,보라색,보라,보라
20,104,163,ko,파란색,파랑,파랑,파란색,파랑,파랑
191,77,240,ko,보라색,보라,보라,보라색,보라,보라
29,199,175,ko,청록색,청록,청록,청록,청록,청록
49,232,123,ko,초록색,초록,초록,초록색,초록,초록
6,76,190,ko,파랑,파랑,파랑,로얄블루,로얄블루,로얄블루
125,89,188,ko,보라색,보라,보라,보라색,보라,보라
213,241,134,ko,연두색,연두,연두,연두색,연두,연두
70,93,70,ko,녹색,녹,녹,국방색,국방,국방
217,192,203,ko,연분홍,연분홍,연분홍,말린 장미색,말린 장미,말린장미
97,144,115,ko,초록색,초록,초록,쑥색,쑥,쑥
106,84,151,ko,보라색,보라,보라,보라색,보라,보라
85,163,215,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
54,99,58,ko,초록색,초록,초록,국방색,국방,국방
156,252,208,ko,연두색,연두,연두,민트색,민트,민트
59,212,108,ko,초록색,초록,초록,라임색,라임,라임
196,83,27,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
141,242,1,ko,연두색,연두,연두,라임색,라임,라임
17,44,232,ko,파란색,파랑,파랑,선명한 파란색,선명한 파랑,선명한파랑
59,152,109,ko,초록색,초록,초록,짙은 초록색,짙은 초록,짙은초록
67,237,205,ko,민트색,민트,민트,청록색,청록,청록
224,154,60,ko,주황색,주황,주황,황토색,황토,황토
108,188,236,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
46,63,241,ko,파랑,파랑,파랑,파란색,파랑,파랑
245,19,69,ko,빨강,빨강,빨강,진홍색,진홍,진홍
1,94,134,ko,청록색,청록,청록,청록색,청록,청록
137,251,216,ko,민트색,민트,민트,민트색,민트,민트
113,143,60,ko,연두색,연두,연두,올리브 그린,올리브 그린,올리브그린
154,20,24,ko,빨강,빨강,빨강,버건디,버건디,버건디
48,189,121,ko,초록색,초록,초록,초록색,초록,초록
146,41,156,ko,보라색,보라,보라,보라색,보라,보라
62,128,170,ko,파란색,파랑,파랑,파란색,파랑,파랑
174,211,216,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
218,17,108,ko,분홍색,분홍,분홍,마젠타색,마젠타,마젠타
226,118,28,ko,주황색,주황,주황,주황색,주황,주황
38,240,123,ko,연두색,연두,연두,초록색,초록,초록
64,144,181,ko,청록색,청록,청록,청록색,청록,청록
203,207,45,ko,노란색,노랑,노랑,연두색,연두,연두
137,255,36,ko,연두색,연두,연두,연두색,연두,연두
73,255,44,ko,연두색,연두,연두,초록색,초록,초록
2,117,156,ko,청록색,청록,청록,청록색,청록,청록
25,106,187,ko,파란색,파랑,파랑,파란색,파랑,파랑
131,220,0,ko,연두색,연두,연두,연두색,연두,연두
58,189,157,ko,청록색,청록,청록,터키색,터키,터키
201,200,127,ko,카키색,카키,카키,연두색,연두,연두
159,248,234,ko,민트색,민트,민트,민트색,민트,민트
61,111,36,ko,초록색,초록,초록,국방색,국방,국방
44,115,98,ko,청록색,청록,청록,청록색,청록,청록
112,135,118,ko,카키색,카키,카키,쑥색,쑥,쑥
129,44,181,ko,보라색,보라,보라,보라색,보라,보라
120,9,93,ko,자주색,자주,자주,자주색,자주,자주
54,162,105,ko,초록색,초록,초록,녹색,녹,녹
234,202,60,ko,노랑,노랑,노랑,은행잎색,은행잎,은행잎
223,123,226,ko,분홍색,분홍,분홍,보라색,보라,보라
187,168,147,ko,베이지,베이지,베이지,회갈색,회갈,회갈
139,230,28,ko,연두색,연두,연두,라임색,라임,라임
60,114,7,ko,초록색,초록,초록,올리브색,올리브,올리브
87,146,157,ko,청록색,청록,청록,청록색,청록,청록
235,121,94,ko,주황색,주황,주황,코랄색,코랄,코랄
160,28,22,ko,빨간색,빨강,빨강,빨간색,빨강,빨강
124,126,249,ko,보라색,보라,보라,청보라색,청보라,청보라
231,157,178,ko,분홍색,분홍,분홍,분홍색,분홍,분홍
159,209,71,ko,연두색,연두,연두,연두색,연두,연두
138,75,32,ko,갈색,갈,갈,밤색,밤,밤
140,246,22,ko,연두색,연두,연두,연두색,연두,연두
29,128,199,ko,파랑,파랑,파랑,로얄블루,로얄블루,로얄블루
17,189,134,ko,청록색,청록,청록,초록색,초록,초록
133,140,144,ko,회색,회,회,회색,회,회
16,108,88,ko,청록색,청록,청록,청록색,청록,청록
143,218,246,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
253,18,42,ko,빨강,빨강,빨강,빨강,빨강,빨강
74,61,122,ko,보라색,보라,보라,가지색,가지,가지
39,4,138,ko,보라색,보라,보라,보라색,보라,보라
166,96,184,ko,보라색,보라,보라,보라색,보라,보라
101,194,192,ko,민트색,민트,민트,청록색,청록,청록
113,232,235,ko,하늘색,하늘,하늘,청록색,청록,청록
186,30,138,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
5,10,104,ko,짙은 파랑,짙은 파랑,짙은파랑,남색,남,남
234,38,106,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
