r,g,b,lang_code,chatgpt,gemini
255,0,117,en,magenta,Hot pink
0,255,228,en,cyan,Cyan
73,0,255,en,purple,Violet
107,255,0,en,lime,Lime green
12,255,0,en,green,Lime green
255,0,104,en,pink,Pink
255,4,0,en,red,Red
97,255,0,en,green,Lime green
0,255,216,en,turquoise,Cyan
255,0,241,en,magenta,Magenta
0,255,48,en,green,Lime green
255,0,24,en,red,Red
221,255,0,en,yellow,Neon yellow
0,255,69,en,green,Lime green
255,35,0,en,red,Orange-red
0,148,255,en,blue,Blue
127,0,255,en,purple,Violet
255,0,164,en,magenta,Fuchsia
255,0,198,en,magenta,Magenta
255,15,0,en,red,Red
0,5,255,en,blue,Blue
156,255,0,en,lime,Chartreuse
255,216,0,en,yellow,Yellow
255,0,69,en,red,Fuchsia
52,255,0,en,green,Lime Green
0,255,18,en,green,Lime
0,255,69,en,green,Lime green
255,65,0,en,orange,Orange
115,0,255,en,purple,Purple
255,0,94,en,pink,Hot pink
0,255,241,en,cyan,Cyan
0,149,255,en,blue,Blue
0,25,255,en,blue,Blue
105,0,255,en,purple,Violet
255,135,0,en,orange,Orange
0,245,255,en,cyan,Cyan
0,65,255,en,blue,Blue
255,0,115,en,pink,Fuchsia
0,40,255,en,blue,Blue
255,68,0,en,orange,Red-orange
0,11,255,en,blue,Blue
0,255,212,en,cyan,Turquoise
126,0,255,en,purple,Purple
115,0,255,en,purple,Purple
162,255,0,en,lime,Lime green
255,0,167,en,magenta,Fuchsia
0,255,124,en,green,Spring green
255,218,0,en,yellow,Yellow
0,227,255,en,cyan,Cyan
158,0,255,en,purple,Purple
0,255,209,en,turquoise,Cyan
87,255,0,en,lime,Lime
107,0,255,en,purple,Violet
255,100,0,en,orange,Orange
81,0,255,en,purple,Violet
183,255,0,en,lime,Lime green
255,113,0,en,orange,Orange
0,255,125,en,green,Bright green
0,255,63,en,green,Lime green
0,255,165,en,green,Medium spring green
255,0,36,en,red,Red
255,107,0,en,orange,Orange
0,255,30,en,green,Lime green
49,0,255,en,blue,Blue
0,255,232,en,cyan,Cyan
255,84,0,en,orange,Orange
0,16,255,en,blue,Blue
255,0,3,en,red,Red
0,255,125,en,green,Spring green
81,255,0,en,green,Lime green
154,255,0,en,lime,Lime green
255,0,118,en,pink,Hot pink
255,0,197,en,magenta,Magenta
255,134,0,en,orange,Orange
179,0,255,en,purple,Purple
112,255,0,en,lime,Lime green
255,64,0,en,orange,Orange
255,0,103,en,pink,Fuchsia
255,0,243,en,magenta,Magenta
227,255,0,en,yellow,Neon yellow
255,190,0,en,orange,Amber
213,255,0,en,lime,Chartreuse
65,0,255,en,blue,Blue
255,30,0,en,red,Red
255,194,0,en,yellow,Yellow
84,255,0,en,green,Lime green
0,59,255,en,blue,Blue
111,0,255,en,purple,Purple
0,125,255,en,blue,Dodger Blue
48,0,255,en,blue,Blue
255,0,8,en,red,Red
229,255,0,en,yellow,Yellow
74,0,255,en,purple,Ultramarine
101,0,255,en,purple,Violet
31,0,255,en,blue,Blue
0,255,149,en,green,Spring Green
255,48,0,en,orange,Vermilion
165,255,0,en,lime,Chartreuse
232,255,0,en,yellow,Neon yellow
255,79,0,en,orange,Orange
246,0,255,en,magenta,Fuchsia
255,0,60,en,red,Hot pink
255,0,133,en,pink,Deep Pink
0,255,101,en,green,Green
0,179,255,en,blue,Sky blue
151,255,0,en,lime,Lime green
75,0,255,en,purple,Violet
129,255,0,en,lime,Lime green
101,0,255,en,purple,Violet
255,0,211,en,magenta,Magenta
255,127,0,en,orange,Orange
255,0,212,en,magenta,Magenta
255,0,68,en,red,Magenta
255,253,0,en,yellow,Yellow
0,59,255,en,blue,Blue
0,255,85,en,green,Lime green
0,255,138,en,green,Spring Green
216,255,0,en,lime,Chartreuse
212,0,255,en,purple,Magenta
255,184,0,en,orange,Orange
131,255,0,en,lime green,Lime green
87,0,255,en,purple,Violet
221,255,0,en,lime,Neon yellow
127,255,0,en,lime,Lime green
255,0,26,en,red,Red
182,255,0,en,lime,Lime green
116,0,255,en,purple,Purple
255,0,46,en,red,Red
0,190,255,en,cyan,Cyan
255,0,231,en,magenta,Magenta
135,0,255,en,purple,Purple
68,255,0,en,lime green,Lime Green
255,158,0,en,orange,Orange
255,53,0,en,orange,Red
0,252,255,en,cyan,Cyan
99,255,0,en,lime,Lime green
255,0,187,en,magenta,Magenta
0,255,246,en,cyan,Cyan
106,255,0,en,lime,Lime green
255,64,0,en,orange,Orangered
78,255,0,en,green,Lime green
255,48,0,en,orange,Vermilion
193,255,0,en,lime,Lime green
79,0,255,en,purple,Violet
87,255,0,en,green,Lime green
69,255,0,en,green,Lime green
0,202,255,en,cyan,Deep Sky Blue
127,0,255,en,purple,Violet
42,255,0,en,green,Lime green
25,0,255,en,blue,Blue
0,255,40,en,green,Bright green
0,255,147,en,green,Spring Green
0,255,26,en,green,Lime green
0,60,255,en,blue,Electric blue
0,255,147,en,green,Spring green
53,0,255,en,blue,Blue
0,161,255,en,blue,Bright blue
0,30,255,en,blue,Blue
255,52,0,en,orange,Vermilion
135,0,255,en,purple,Violet
113,255,0,en,green,Lime green
255,35,0,en,red,Scarlet
149,0,255,en,purple,Purple
0,102,255,en,blue,Blue
133,255,0,en,lime,Lime green
235,0,255,en,magenta,Magenta
42,255,0,en,green,Green
0,255,141,en,green,Spring green
0,255,169,en,turquoise,Aqua
49,255,0,en,green,Lime green
255,195,0,en,yellow,Gold
0,255,33,en,green,Lime
0,255,245,en,cyan,Cyan
0,0,255,en,blue,Blue
0,255,112,en,green,Kelly green
0,37,255,en,blue,Blue
0,78,255,en,blue,Blue
255,237,0,en,yellow,Yellow
255,0,235,en,magenta,Magenta
255,218,0,en,yellow,Yellow
255,0,201,en,magenta,Magenta
0,255,158,en,green,Cyan
255,49,0,en,orange,Scarlet
131,0,255,en,purple,Purple
0,204,255,en,cyan,Cyan
0,255,14,en,green,Lime green
255,0,93,en,pink,Fuchsia
42,0,255,en,blue,Blue
161,255,0,en,lime,Lime
197,255,0,en,lime,Lime green
48,0,255,en,blue,Blue
41,255,0,en,green,Lime green
255,0,201,en,magenta,Fuchsia
255,126,0,en,orange,Orange
0,104,255,en,blue,Blue
172,0,255,en,purple,Purple
255,223,0,en,yellow,Yellow
0,96,255,en,blue,Blue
255,0,134,en,pink,Hot pink
0,255,168,en,turquoise,Spring green
0,127,255,en,blue,Azure
255,211,0,en,yellow,Yellow
0,255,240,en,cyan,Cyan
255,90,0,en,orange,Orange
2,255,0,en,green,Green
255,0,20,en,red,Red
171,0,255,en,purple,Purple
0,255,32,en,green,Green
0,255,13,en,green,Lime
151,255,0,en,lime,Lime green
255,0,19,en,red,Red
12,0,255,en,blue,Blue
255,0,60,en,red,Red
62,255,0,en,lime,Lime green
255,0,121,en,pink,Fuchsia
0,255,210,en,turquoise,Cyan
0,250,255,en,cyan,Cyan
0,229,255,en,cyan,Cyan
255,0,203,en,magenta,Magenta
229,255,0,en,yellow,Fluorescent yellow
0,255,237,en,cyan,Cyan
255,0,103,en,pink,Hot Pink
0,255,195,en,cyan,Cyan
0,130,255,en,blue,Azure
255,249,0,en,yellow,Yellow
239,0,255,en,magenta,Magenta
29,255,0,en,green,Lime green
0,145,255,en,blue,Blue
0,255,75,en,green,Lime green
255,0,43,en,red,Red
215,0,255,en,magenta,Magenta
255,0,0,en,red,Red
255,163,0,en,orange,Orange
255,0,35,en,red,Red
0,255,142,en,green,Spring green
108,0,255,en,purple,Violet
220,255,0,en,yellow,Fluorescent yellow
255,90,0,en,orange,Orange
0,232,255,en,cyan,Cyan
67,255,0,en,green,Green
0,255,157,en,mint green,Spring Green
255,0,44,en,red,Red
11,255,0,en,green,Lime green
255,0,59,en,red,Red
255,38,0,en,orange,Orange-red
0,255,187,en,turquoise,Aqua
255,196,0,en,yellow,Yellow
138,255,0,en,lime,Lime green
255,0,108,en,pink,Hot pink
228,0,255,en,magenta,Magenta
255,241,0,en,yellow,Yellow
0,255,225,en,turquoise,Cyan
0,255,14,en,green,Green
103,255,0,en,green,Lime green
203,0,255,en,magenta,Magenta
0,2,255,en,blue,Blue
147,0,255,en,purple,Purple
0,255,199,en,turquoise,cyan
175,255,0,en,lime,Lime green
184,255,0,en,lime,Lime green
0,255,168,en,green,Aqua
158,255,0,en,lime,Chartreuse
255,0,98,en,pink,Hot pink
97,0,255,en,purple,Violet
255,85,0,en,orange,Orange
0,255,109,en,green,Kelly green
101,0,255,en,purple,Violet
255,157,0,en,orange,Orange
255,84,0,en,orange,Orange
0,255,98,en,green,Neon green
0,30,255,en,blue,Blue
75,0,255,en,purple,Blue-violet
134,255,0,en,lime green,Lime green
0,255,120,en,green,Bright green
255,199,0,en,yellow,Yellow
179,255,0,en,lime,Lime green
59,0,255,en,blue,Blue
255,198,0,en,yellow,Yellow
92,0,255,en,purple,Violet
32,0,255,en,blue,Blue
255,0,251,en,magenta,Magenta
255,0,246,en,magenta,Magenta
92,0,255,en,purple,Violet
255,0,61,en,red,Fuchsia
145,0,255,en,purple,Purple
0,255,50,en,green,Green
49,255,0,en,lime,Neon green
255,179,0,en,orange,Orange
37,255,0,en,green,Lime green
0,255,76,en,green,Lime green
197,255,0,en,lime,Lime green
0,255,37,en,green,Green
100,0,255,en,purple,Violet
0,255,194,en,turquoise,Cyan
0,255,10,en,green,Lime green
133,0,255,en,purple,Purple
255,0,97,en,pink,Fuchsia
193,0,255,en,purple,Electric purple
0,21,255,en,blue,Blue
187,255,0,en,lime,Chartreuse
18,255,0,en,green,Lime
255,92,0,en,orange,Orange
255,0,33,en,red,Red
91,255,0,en,green,Lime green
255,138,0,en,orange,Orange
70,0,255,en,purple,Electric blue
255,0,59,en,red,Fuchsia
104,255,0,en,green,Lime green
0,255,161,en,green,Spring Green
199,255,0,en,lime,Lime green
0,255,171,en,green,Spring Green
218,0,255,en,magenta,Magenta
0,255,245,en,cyan,Cyan
108,0,255,en,purple,Purple
8,0,255,en,blue,Blue
33,0,255,en,blue,Blue
255,0,128,en,pink,Hot pink
66,0,255,en,blue,Blue-violet
255,206,0,en,yellow,Yellow
255,0,93,en,pink,Hot pink
127,0,255,en,purple,Violet
255,240,0,en,yellow,Yellow
255,0,193,en,magenta,Magenta
0,255,16,en,green,Green
255,0,109,en,pink,Fuchsia
17,0,255,en,blue,Blue
86,0,255,en,purple,Violet
255,141,0,en,orange,Orange
255,209,0,en,yellow,Yellow
192,255,0,en,lime,Lime green
0,70,255,en,blue,Blue
255,0,31,en,red,Red
152,0,255,en,purple,Purple
0,221,255,en,cyan,Cyan
0,255,230,en,cyan,Cyan
57,255,0,en,green,Green
255,172,0,en,orange,Orange
11,255,0,en,green,Green
255,67,0,en,orange,Red-orange
195,255,0,en,lime,Lime green
255,203,0,en,yellow,Yellow
225,255,0,en,yellow,Neon yellow
215,0,255,en,magenta,Magenta
5,0,255,en,blue,Blue
255,0,35,en,red,Red
61,0,255,en,blue,Electric blue
87,255,0,en,green,Lime green
0,19,255,en,blue,Blue
106,255,0,en,green,Lime green
255,0,161,en,pink,Pink
60,255,0,en,green,Lime green
255,134,0,en,orange,Orange
255,0,184,en,magenta,Magenta
255,121,0,en,orange,Orange
255,120,0,en,orange,Orange
255,217,0,en,yellow,Yellow
62,255,0,en,green,Lime green
0,138,255,en,blue,Electric blue
255,230,0,en,yellow,Yellow
177,0,255,en,purple,Purple
169,0,255,en,purple,Purple
255,0,81,en,red,Hot pink
255,19,0,en,red,Red
255,0,145,en,magenta,Fuchsia
243,0,255,en,magenta,Magenta
0,255,208,en,turquoise,Cyan
0,255,237,en,cyan,Cyan
0,255,17,en,green,Neon green
255,0,106,en,pink,Hot pink
0,255,152,en,green,Spring Green
255,71,0,en,orange,Orange
0,110,255,en,blue,Blue
255,82,0,en,orange,Orange
255,0,36,en,red,Red
255,185,0,en,orange,Amber
78,255,0,en,green,Lime green
255,0,33,en,red,Red
255,0,249,en,magenta,Magenta
255,0,215,en,magenta,Magenta
20,255,0,en,lime,Neon green
123,0,255,en,purple,Purple
77,0,255,en,purple,Blue-violet
68,0,255,en,purple,Electric Blue
0,168,255,en,blue,Azure
255,190,0,en,orange,Amber
0,1,255,en,blue,Blue
255,0,199,en,magenta,Magenta
112,0,255,en,purple,Purple
255,124,0,en,orange,Orange
116,0,255,en,purple,Purple
255,0,84,en,pink,Magenta
255,9,0,en,red,Red
212,0,255,en,purple,Magenta
255,0,7,en,red,Red
32,0,255,en,blue,Blue
255,34,0,en,red,Red
93,0,255,en,purple,Purple
0,255,76,en,green,Lime green
255,161,0,en,orange,Orange
0,255,27,en,green,Lime green
77,0,255,en,purple,Electric Blue
255,0,161,en,magenta,Pink
104,0,255,en,purple,Violet
255,0,56,en,red,Ruby
255,104,0,en,orange,Orange
87,255,0,en,green,Lime green
0,255,100,en,green,Lime green
255,11,0,en,red,Red
0,255,53,en,green,Lime green
255,34,0,en,red,Red
255,50,0,en,orange,OrangeRed
0,255,179,en,turquoise,Cyan
0,255,194,en,turquoise,Cyan
255,0,63,en,red,Fuchsia
0,48,255,en,blue,Blue
133,255,0,en,lime,Lime green
255,0,8,en,red,Red
0,255,3,en,green,Green
255,116,0,en,orange,Orange
255,82,0,en,orange,Orange
131,0,255,en,purple,Purple
96,255,0,en,green,Lime green
0,247,255,en,cyan,Cyan
0,88,255,en,blue,Blue
255,180,0,en,orange,Orange
255,0,168,en,magenta,Magenta
206,0,255,en,purple,Magenta
255,50,0,en,orange,Red-orange
255,177,0,en,orange,Yellow-orange
193,255,0,en,lime,Chartreuse
97,0,255,en,purple,Violet
0,255,0,en,green,Green
255,14,0,en,red,Red
62,255,0,en,green,Lime green
255,208,0,en,yellow,Yellow
102,255,0,en,lime,Lime green
219,255,0,en,lime,Neon Yellow
148,0,255,en,purple,Violet
57,255,0,en,green,Lime Green
255,0,224,en,magenta,Magenta
0,255,205,en,turquoise,Cyan
255,40,0,en,orange,Scarlet
224,255,0,en,yellow,Fluorescent yellow
255,70,0,en,orange,Orange
240,0,255,en,magenta,Magenta
255,53,0,en,orange,Vermilion
73,0,255,en,purple,Violet
0,231,255,en,cyan,Cyan
255,173,0,en,orange,Orange
255,0,170,en,magenta,Hot pink
245,0,255,en,magenta,Fuchsia
255,0,0,en,red,Red
255,0,135,en,magenta,Hot pink
244,0,255,en,magenta,Magenta
193,255,0,en,lime,Lime green
255,98,0,en,orange,Orange
0,174,255,en,blue,Blue
0,156,255,en,blue,Blue
117,0,255,en,purple,Electric purple
0,60,255,en,blue,Blue
0,255,7,en,green,Green
109,255,0,en,lime,Lime
255,251,0,en,yellow,Yellow
255,213,0,en,yellow,Yellow
255,4,0,en,red,Red
255,33,0,en,red,Scarlet
0,255,206,en,turquoise,Cyan
0,115,255,en,blue,Dodger blue
255,0,199,en,magenta,Magenta
255,0,83,en,pink,Hot pink
255,0,16,en,red,Red
203,0,255,en,purple,Purple
41,0,255,en,blue,Blue
255,0,43,en,red,Red
255,20,0,en,red,Red
0,55,255,en,blue,Blue
255,185,0,en,orange,Yellow-orange
0,98,255,en,blue,Blue
255,0,44,en,red,Red
88,0,255,en,purple,Blue-violet
109,255,0,en,green,Chartreuse
150,255,0,en,lime,Lime green
255,0,228,en,magenta,Magenta
214,255,0,en,lime,Chartreuse
85,255,0,en,green,Lime green
154,255,0,en,lime green,Lime Green
0,255,64,en,green,Lime Green
0,255,217,en,cyan,Cyan
12,255,0,en,green,Green
255,109,0,en,orange,Orange
0,51,255,en,blue,Blue
207,255,0,en,lime,Lime Green
86,255,0,en,green,Lime green
48,0,255,en,blue,Blue
255,2,0,en,red,Red
0,92,255,en,blue,Blue
255,21,0,en,red,Red
255,79,0,en,orange,Orange
255,0,117,en,pink,Fuchsia
0,220,255,en,cyan,Cyan
148,255,0,en,lime,Lime green
0,36,255,en,blue,Blue
215,0,255,en,magenta,Magenta
0,155,255,en,blue,Cerulean
73,255,0,en,green,Lime green
248,0,255,en,magenta,Magenta
255,80,0,en,orange,Red-orange
255,64,0,en,orange,OrangeRed
249,0,255,en,magenta,Magenta
255,232,0,en,yellow,Yellow
255,176,0,en,orange,Orange
0,255,220,en,turquoise,Cyan
230,255,0,en,yellow,Neon yellow
0,255,134,en,green,Spring Green
0,34,255,en,blue,Blue
0,130,255,en,blue,Azure
184,0,255,en,purple,Purple
255,0,160,en,magenta,Pink
255,0,193,en,magenta,Magenta
0,255,193,en,turquoise,Cyan
0,65,255,en,blue,Blue
0,206,255,en,cyan,Cyan
255,193,0,en,orange,Yellow
33,0,255,en,blue,Blue
1,255,0,en,green,Lime
136,255,0,en,green,lime green
0,148,255,en,blue,Blue
81,255,0,en,green,Lime green
119,0,255,en,purple,Violet
0,170,255,en,blue,Cyan
58,255,0,en,green,Lime green
255,0,171,en,pink,Hot pink
137,255,0,en,lime,Lime Green
205,255,0,en,lime,Chartreuse
0,32,255,en,blue,Blue
238,0,255,en,magenta,Magenta
7,0,255,en,blue,Blue
0,255,104,en,green,Green
149,255,0,en,lime,Lime green
61,0,255,en,blue,Blue
144,255,0,en,lime,Lime green
221,255,0,en,yellow,Neon yellow
154,255,0,en,lime,Lime green
255,0,48,en,red,Red
255,253,0,en,yellow,Yellow
255,198,0,en,yellow,Yellow
255,0,45,en,red,Red
33,0,255,en,blue,Blue
21,255,0,en,green,Lime green
255,0,185,en,magenta,Magenta
0,255,73,en,green,Bright green
249,255,0,en,yellow,Yellow
255,197,0,en,yellow,Gold
0,255,86,en,green,Green
0,11,255,en,blue,Blue
255,99,0,en,orange,Orange
255,106,0,en,orange,Orange
235,0,255,en,magenta,Magenta
255,166,0,en,orange,Orange
255,0,225,en,magenta,Magenta
107,0,255,en,purple,Blue-violet
0,225,255,en,cyan,Cyan
82,0,255,en,purple,Violet
255,0,150,en,pink,Fuchsia
255,82,0,en,orange,Orange
0,255,14,en,green,Green
255,160,0,en,orange,Orange
160,255,0,en,lime,Lime green
0,79,255,en,blue,Blue
255,0,190,en,magenta,Fuchsia
255,173,0,en,orange,Orange
0,87,255,en,blue,Blue
255,0,190,en,magenta,Pink
255,0,32,en,red,Red
255,89,0,en,orange,Orange
255,178,0,en,orange,Orange
65,0,255,en,blue,Violet
0,255,151,en,green,Spring Green
0,243,255,en,cyan,Cyan
255,0,47,en,red,Red
0,255,148,en,green,Spring Green
255,6,0,en,red,Red
0,165,255,en,blue,Cerulean
16,0,255,en,blue,Blue
156,255,0,en,chartreuse,Lime green
255,172,0,en,orange,Orange
52,255,0,en,lime,Green
0,201,255,en,cyan,Cyan
180,255,0,en,lime,Chartreuse
144,0,255,en,purple,Purple
255,0,71,en,pink,Fuchsia
88,255,0,en,lime,Lime green
255,0,8,en,red,Red
255,0,223,en,magenta,Magenta
255,193,0,en,yellow,Yellow
142,255,0,en,lime,Lime green
0,255,9,en,green,Lime green
0,255,223,en,cyan,Cyan
135,0,255,en,purple,Purple
255,0,6,en,red,Red
255,0,112,en,pink,Hot pink
42,255,0,en,lime,Electric green
255,211,0,en,yellow,Yellow
255,0,215,en,magenta,Magenta
255,51,0,en,orange,OrangeRed
255,0,73,en,pink,Hot pink
255,219,0,en,yellow,Yellow
255,21,0,en,red,Red
0,83,255,en,blue,Blue
255,0,101,en,pink,Hot pink
255,0,34,en,red,Red
0,232,255,en,cyan,Cyan
166,255,0,en,lime,Lime green
255,0,48,en,red,Red
255,250,0,en,yellow,Yellow
255,52,0,en,orange,Red-orange
30,0,255,en,blue,Blue
229,255,0,en,yellow,Yellow
0,255,97,en,green,Green
255,0,127,en,magenta,Hot pink
255,0,220,en,magenta,Fuchsia
235,0,255,en,magenta,Magenta
0,136,255,en,blue,Dodger Blue
43,0,255,en,blue,Blue
0,255,22,en,green,Lime green
25,0,255,en,blue,Blue
0,255,253,en,cyan,Cyan
0,255,222,en,turquoise,Cyan
255,0,78,en,pink,Hot pink
255,201,0,en,yellow,Yellow
87,0,255,en,purple,Violet
0,237,255,en,cyan,Cyan
255,0,89,en,pink,Hot Pink
214,255,0,en,lime,Chartreuse
255,0,57,en,red,Scarlet
220,0,255,en,magenta,Magenta
255,0,8,en,red,Red
232,0,255,en,magenta,Magenta
86,0,255,en,purple,Violet
255,229,0,en,yellow,Yellow
236,0,255,en,magenta,Magenta
162,0,255,en,purple,Purple
16,255,0,en,green,Green
255,90,0,en,orange,Orange
255,0,8,en,red,Red
101,255,0,en,lime,Lime
255,42,0,en,orange,Orange-red
108,0,255,en,purple,Purple
255,0,100,en,pink,Magenta
248,0,255,en,magenta,Magenta
0,255,189,en,turquoise,Cyan
139,255,0,en,lime,Lime green
255,0,49,en,red,Red
22,255,0,en,green,Green
255,0,195,en,magenta,Fuchsia
0,19,255,en,blue,Blue
0,255,246,en,cyan,Cyan
0,255,108,en,green,Spring green
45,0,255,en,blue,Blue
255,36,0,en,red,Scarlet
255,0,230,en,magenta,Magenta
255,0,39,en,red,Red
0,255,43,en,green,Green
0,225,255,en,cyan,Cyan
130,255,0,en,lime,Lime green
255,73,0,en,orange,Orange
227,255,0,en,yellow,Yellow
186,255,0,en,lime,Lime green
167,255,0,en,lime,Lime Green
191,255,0,en,lime,Lime green
0,255,209,en,turquoise,Cyan
78,255,0,en,green,Lime green
0,255,152,en,green,Spring Green
255,0,33,en,red,Red
0,89,255,en,blue,Blue
0,255,118,en,green,Green
40,0,255,en,blue,Blue
174,0,255,en,purple,Purple
255,96,0,en,orange,Orange
98,255,0,en,lime green,Neon green
255,168,0,en,orange,Orange
239,255,0,en,yellow,Yellow
0,255,151,en,green,Emerald green
255,0,252,en,magenta,Magenta
185,0,255,en,purple,Purple
0,240,255,en,cyan,Aqua
255,66,0,en,orange,Orange
0,255,167,en,green,Cyan
201,255,0,en,lime,Chartreuse
0,229,255,en,cyan,Cyan
192,0,255,en,purple,Purple
255,0,180,en,magenta,Fuchsia
0,255,85,en,green,Lime green
255,0,223,en,magenta,Magenta
255,0,198,en,magenta,Fuchsia
0,255,50,en,green,Green
83,255,0,en,green,Lime green
0,255,222,en,turquoise,Cyan
255,42,0,en,orange,Red
0,55,255,en,blue,Blue
237,0,255,en,magenta,Magenta
240,0,255,en,magenta,Magenta
255,110,0,en,orange,Orange
0,140,255,en,blue,Blue
255,90,0,en,orange,Orange
145,0,255,en,purple,Purple
5,0,255,en,blue,Blue
0,255,215,en,turquoise,Cyan
255,201,0,en,yellow,Yellow
255,0,237,en,magenta,Magenta
0,255,215,en,cyan,Cyan
255,253,0,en,yellow,Yellow
0,255,208,en,turquoise,Turquoise
255,30,0,en,red,Red
0,255,53,en,green,Bright green
0,36,255,en,blue,Blue
0,175,255,en,blue,Cyan
255,0,217,en,magenta,Pink
138,0,255,en,purple,Purple
107,0,255,en,purple,Violet
0,255,224,en,turquoise,Cyan
255,0,28,en,red,Red
0,255,59,en,green,Lime Green
102,0,255,en,purple,Purple
0,2,255,en,blue,Blue
0,255,94,en,green,Green
255,0,48,en,red,Red
255,119,0,en,orange,Orange
33,255,0,en,green,Lime green
255,168,0,en,orange,Orange
177,0,255,en,purple,Purple
255,71,0,en,orange,Red-orange
93,255,0,en,green,Lime green
0,255,245,en,cyan,Cyan
165,255,0,en,lime,Lime green
111,255,0,en,green,Lime green
255,218,0,en,yellow,Yellow
121,0,255,en,purple,Purple
0,255,97,en,green,Bright green
255,196,0,en,orange,Gold
255,0,152,en,magenta,Hot pink
97,255,0,en,green,Lime green
0,81,255,en,blue,Blue
255,165,0,en,orange,Orange
255,0,49,en,red,Cerise
0,216,255,en,cyan,Cyan
255,43,0,en,red,Red-orange
255,68,0,en,orange,Bright orange
0,255,47,en,green,Green
255,0,180,en,magenta,Magenta
196,255,0,en,lime,Lime green
0,255,124,en,green,Green
37,0,255,en,blue,Blue
127,255,0,en,green,Lime green
82,0,255,en,purple,Violet
0,25,255,en,blue,Blue
0,255,66,en,green,Green
255,48,0,en,orange,Orange-red
137,255,0,en,lime,Lime green
0,34,255,en,blue,Blue
241,0,255,en,magenta,Magenta
255,0,82,en,magenta,Fuchsia
24,255,0,en,green,Green
0,214,255,en,cyan,Cyan
255,79,0,en,orange,Orange
255,212,0,en,yellow,Yellow
255,0,3,en,red,Red
73,0,255,en,purple,Blue-violet
254,255,0,en,yellow,Yellow
255,201,0,en,yellow,Yellow
255,140,0,en,orange,Orange
0,255,102,en,green,Lime green
0,19,255,en,blue,Blue
125,255,0,en,lime,lime green
255,0,126,en,pink,Hot pink
0,171,255,en,blue,Cyan
0,255,39,en,green,Green
0,255,80,en,green,Lime green
0,255,116,en,green,Spring green
94,255,0,en,green,Lime green
255,0,161,en,magenta,Hot pink
0,161,255,en,blue,Blue
0,141,255,en,blue,Blue
