r,g,b,lang_code,human
255,0,7,en,red
255,0,168,en,pink
255,127,0,en,orange
255,223,0,en,mustard yellow
255,184,0,en,yellow orange
255,252,0,en,yellow
113,255,0,en,green
201,255,0,en,yellow green
255,0,112,en,fuschia
229,255,0,en,yellow
61,255,0,en,spring green
255,87,0,en,alloy orange
255,0,255,en,magenta
135,255,0,en,chartreuse
109,0,255,en,violet
255,121,0,en,orange
255,188,0,en,mustard yellow
251,255,0,en,yellow
157,255,0,en,lime green
230,255,0,en,neon yellow
159,0,255,en,purple
255,30,0,en,red
255,0,71,en,hot pink
255,0,191,en,fuschia
115,0,255,en,violet
95,255,0,en,chartreuse
229,0,255,en,purple
255,122,0,en,amber
255,223,0,en,turmeric
255,0,88,en,red
255,47,0,en,red
222,0,255,en,bright purple
255,0,65,en,red
255,0,122,en,pink
76,0,255,en,midnight blue
255,97,0,en,orange
203,0,255,en,light purple
170,255,0,en,flourescent green
255,0,86,en,red
255,0,213,en,hot pink
255,0,57,en,light red
111,255,0,en,bright green
255,233,0,en,yellow
222,255,0,en,yellow green
255,0,31,en,red
161,255,0,en,baby grass green
254,0,255,en,purple
255,0,130,en,hot pink
255,0,22,en,red
255,0,85,en,pink
255,0,186,en,fuschia
255,71,0,en,persimmon
255,203,0,en,turmeric
255,0,120,en,rose
255,251,0,en,yellow
255,0,39,en,red
255,0,213,en,fuschia
67,0,255,en,dark blue
255,114,0,en,orange
179,255,0,en,apple green
183,0,255,en,purple
255,229,0,en,goldenrod
255,45,0,en,red
255,208,0,en,gold
255,0,170,en,pink
255,211,0,en,yellow gold
255,0,207,en,magenta
141,0,255,en,violet
255,59,0,en,red orange
255,173,0,en,gold
255,0,133,en,pink red
255,95,0,en,orange red
255,0,241,en,pinkish purple
138,0,255,en,purple
255,152,0,en,orange
255,0,152,en,pink
116,255,0,en,lime green
241,255,0,en,yellow
255,0,136,en,hot pink
255,0,53,en,red
255,0,34,en,red
197,255,0,en,yellow green
255,0,204,en,hot pink
234,0,255,en,purplish pink
255,0,95,en,strawberry
255,134,0,en,orange
255,251,0,en,yellow
255,0,188,en,magenta
255,232,0,en,cadmium yellow
255,0,109,en,rose
255,0,145,en,pink
230,255,0,en,chartreuse
42,0,255,en,cobalt blue
254,0,255,en,magenta
255,0,232,en,magenta
255,0,72,en,red
255,115,0,en,tangerine
255,0,20,en,cadmium red
255,137,0,en,orange
144,0,255,en,purple
255,163,0,en,yellow orange
255,10,0,en,red
227,255,0,en,neon yellow
255,0,165,en,hot pink
255,182,0,en,marigold
255,79,0,en,bright orange
255,0,221,en,magenta
220,0,255,en,periwinkle
180,0,255,en,purple
255,0,74,en,cherry red
164,255,0,en,chartreuse
197,255,0,en,neon yellow
109,0,255,en,indigo
255,193,0,en,gold
255,0,125,en,fuschia
255,140,0,en,orange
190,255,0,en,lime
255,0,100,en,red
162,0,255,en,purple
255,0,176,en,pink
255,0,46,en,red
255,209,0,en,yellow
255,0,131,en,fuchsia
211,0,255,en,purple
255,0,117,en,magenta
239,0,255,en,fuscia
182,255,0,en,puke green
255,240,0,en,gold
255,0,96,en,magenta
89,0,255,en,blue
238,255,0,en,neon yellow
255,123,0,en,orange
149,255,0,en,cyan
255,195,0,en,gold
95,255,0,en,neon green
255,0,186,en,magenta
255,84,0,en,orange red
255,0,92,en,magenta pink
224,0,255,en,purple
245,255,0,en,yellow
24,0,255,en,blue
255,146,0,en,orange
203,0,255,en,purple
255,0,156,en,fusia
255,0,233,en,magenta
255,0,141,en,fusia
255,0,24,en,red
255,0,51,en,red
134,0,255,en,violet
124,255,0,en,chartreuse
255,0,119,en,pink
157,255,0,en,chartreuse
176,0,255,en,purple
255,198,0,en,yellow orange
255,0,244,en,fushsia
255,90,0,en,orange
255,25,0,en,red
160,255,0,en,lime
255,0,55,en,red
255,219,0,en,yellow
255,0,155,en,pink
255,181,0,en,orange yellow
64,255,0,en,green
255,117,0,en,orange
255,138,0,en,tangerine
255,220,0,en,yellow
143,255,0,en,neon green
255,0,98,en,hot pink
255,205,0,en,yellow
255,0,190,en,hot pink
213,0,255,en,purple
255,61,0,en,red/orange
255,170,0,en,orange
220,255,0,en,light lime
35,0,255,en,blue
255,132,0,en,sienna
251,0,255,en,magenta
255,0,89,en,red
255,0,146,en,magenta
255,82,0,en,orange
189,255,0,en,puke green
255,253,0,en,yellow gold
119,0,255,en,purple
255,180,0,en,orange gold
255,194,0,en,orange gold
255,0,97,en,fuschia
255,0,8,en,red
255,0,228,en,hot pink
124,255,0,en,neon green
255,156,0,en,burnt orange
221,0,255,en,light purple
255,11,0,en,dark red
142,0,255,en,purple
255,0,132,en,hot pink
255,223,0,en,gold
255,0,45,en,red
255,225,0,en,yellow
242,255,0,en,lemon
150,255,0,en,lime
120,255,0,en,dark lime green
255,108,0,en,orange
255,0,158,en,hot pink
202,0,255,en,neon purple
235,0,255,en,light purple
137,0,255,en,purple
255,0,139,en,pink
255,163,0,en,orange
255,198,0,en,goldenrod
255,0,77,en,red
255,0,30,en,red
225,0,255,en,bright purple
255,141,0,en,orange
255,0,168,en,pink
255,0,93,en,red
152,255,0,en,neon green
255,250,0,en,yellow
255,116,0,en,dark orange
32,0,255,en,royal blue
255,0,173,en,fuschia
255,0,60,en,red
255,242,0,en,dark yellow
255,0,201,en,hot pink
214,0,255,en,violet
255,0,243,en,fuscia
255,124,0,en,orange
255,18,0,en,red
255,0,184,en,magenta
255,0,64,en,dark hot pink
255,0,26,en,dark red
43,255,0,en,green
212,255,0,en,lime
255,245,0,en,yellow
248,0,255,en,neon purple
255,0,71,en,red
104,0,255,en,muted blue
255,0,121,en,pink
255,0,220,en,magenta
58,255,0,en,neon green
255,0,6,en,red
255,0,142,en,dark pink
255,0,203,en,neon pink
209,0,255,en,bright violet
255,0,243,en,neon pink
255,113,0,en,orange
255,46,0,en,bright red
255,0,52,en,apple red
255,123,0,en,orange
255,98,0,en,burnt orange
255,228,0,en,amarillo
255,0,97,en,fushia
255,250,0,en,yello
211,255,0,en,neon green
255,0,129,en,pink
181,0,255,en,bright purple
255,192,0,en,golden yellow
255,0,125,en,dark pink
255,0,29,en,red
210,255,0,en,lemon lime
255,248,0,en,yellow
255,159,0,en,orange
255,0,200,en,magenta
255,0,146,en,pink
255,114,0,en,red orange
255,0,96,en,pink red
255,151,0,en,burnt orange
255,169,0,en,light orange
255,247,0,en,yellow
87,255,0,en,bright green
255,238,0,en,yellow
127,0,255,en,purple
225,255,0,en,neon yellow
255,254,0,en,yellow
255,0,193,en,magenta
106,0,255,en,blue
255,0,64,en,red
255,225,0,en,gold
79,0,255,en,blue
197,255,0,en,lime green
255,210,0,en,orange yellow
255,177,0,en,orange
255,0,175,en,magenta
255,0,120,en,magenta
255,0,94,en,orange red
169,255,0,en,neon green
255,0,78,en,orange red
255,0,205,en,hot pink
255,34,0,en,red
247,255,0,en,pineapple
199,0,255,en,puple
255,237,0,en,yellow
174,255,0,en,lime
255,66,0,en,red
255,212,0,en,gold
90,0,255,en,cobalt blue
255,165,0,en,orange
247,0,255,en,magenta
233,255,0,en,yellow
110,0,255,en,purple
255,0,41,en,red
255,0,227,en,fushia
250,255,0,en,yellow
255,0,134,en,pink
255,0,97,en,dark pink
255,88,0,en,orange
241,0,255,en,purple
156,255,0,en,yellow green
255,89,0,en,orange
255,0,33,en,red
206,0,255,en,purple
152,0,255,en,indigo
255,232,0,en,pikachu
255,177,0,en,orange
174,0,255,en,indigo
255,0,148,en,magenta
255,0,39,en,red
71,255,0,en,neon green
255,206,0,en,pikachu orange
197,255,0,en,lime
255,0,223,en,magenta
255,119,0,en,orange
255,117,0,en,oragne
255,0,250,en,magenta
81,255,0,en,green
255,0,180,en,pink
158,255,0,en,lime green
255,0,39,en,red
255,76,0,en,pumpkin
255,0,173,en,dark pink
255,144,0,en,orange
222,255,0,en,peuce
112,0,255,en,violet
253,255,0,en,yellow
255,81,0,en,red
74,0,255,en,blue
255,0,195,en,fushia
255,164,0,en,orange
124,0,255,en,blue
121,255,0,en,green
255,0,165,en,fushia
255,0,183,en,hot pink
196,0,255,en,purple
255,173,0,en,yellow orange
255,73,0,en,red orange
255,0,250,en,pink
255,113,0,en,orange
159,255,0,en,highlighter yellow
255,0,116,en,pink
255,0,44,en,red
255,0,106,en,pink
255,0,41,en,red
255,209,0,en,yellow
198,0,255,en,purple
255,154,0,en,orange
255,0,54,en,res
255,0,173,en,hot pink
255,0,53,en,red
255,239,0,en,yellow
255,90,0,en,red
224,255,0,en,yellow
246,0,255,en,fushia
255,203,0,en,orange
255,116,0,en,orange
255,76,0,en,red orange
218,0,255,en,violet
255,0,146,en,magenta
241,255,0,en,yellow
255,155,0,en,yellow orange
255,0,248,en,fuchsia
255,151,0,en,orange
255,235,0,en,yellow
255,0,205,en,magenta
255,0,94,en,reddish pink
255,0,135,en,hot pink
255,209,0,en,goldenrod
145,255,0,en,lime green
255,0,149,en,hot pink
196,255,0,en,yellow green
60,0,255,en,blue
255,173,0,en,orange
255,0,5,en,red
62,255,0,en,neon green
255,130,0,en,orange
218,0,255,en,neon purple
169,255,0,en,green
255,0,223,en,fushia
255,124,0,en,orange
255,0,94,en,red
255,0,114,en,red
191,0,255,en,purple
255,0,27,en,red
255,57,0,en,red
124,0,255,en,violet
255,149,0,en,orange
225,255,0,en,yellow green
255,228,0,en,gold
255,163,0,en,dark orange
253,255,0,en,yellow
69,255,0,en,green
255,208,0,en,tangerine
127,255,0,en,neon green
157,0,255,en,purple
244,255,0,en,yellow
255,0,111,en,magenta
198,0,255,en,fuchsia
255,233,0,en,yellow
200,255,0,en,highlighter yellow
255,0,81,en,pink
255,0,66,en,red
255,72,0,en,brick red
255,0,57,en,red
240,255,0,en,yellow
255,0,141,en,fuchsia
255,0,43,en,red
142,0,255,en,purple
223,255,0,en,lime green
255,57,0,en,red
152,255,0,en,light green
255,0,149,en,pink
238,0,255,en,purple
255,0,203,en,pink and purple
230,255,0,en,yellow and green
255,238,0,en,yellow
151,255,0,en,like green
121,0,255,en,purple
255,124,0,en,orange
255,0,253,en,hot pink
255,0,120,en,hot pink
255,118,0,en,orange
255,4,0,en,red
186,255,0,en,like green
215,0,255,en,magenta
113,255,0,en,lime
255,170,0,en,sunset orange
255,0,98,en,berry
216,255,0,en,neon yellow
255,0,40,en,red
255,100,0,en,burnt orange
255,205,0,en,mustard
255,130,0,en,orange
163,0,255,en,purple
255,243,0,en,yellow
255,0,144,en,pink
255,0,238,en,hot pink
70,255,0,en,lime
202,255,0,en,lime green
245,255,0,en,yello
47,255,0,en,bright green
255,115,0,en,orange
255,60,0,en,red
255,0,98,en,magenta
151,0,255,en,purple
255,0,85,en,red and pink
185,0,255,en,purple
255,0,123,en,pink
59,0,255,en,blue
255,0,68,en,red
255,245,0,en,yellow
255,96,0,en,orange and red
255,0,69,en,bright red
255,0,2,en,red
209,0,255,en,purple
255,176,0,en,goldenrod
255,0,120,en,flamingo pink
157,255,0,en,lime green
255,51,0,en,red
240,0,255,en,fuchsia
255,0,203,en,barbie pink
255,236,0,en,yellow
140,255,0,en,neon green
187,255,0,en,lime green
255,0,39,en,red
255,0,168,en,pink
34,255,0,en,neon green
255,0,202,en,magenta
255,0,254,en,fuchsia
255,29,0,en,red
255,0,132,en,pink
255,214,0,en,yellow
255,0,61,en,red
104,0,255,en,violet
255,0,210,en,pink
255,95,0,en,orange
219,0,255,en,purple
255,0,174,en,pink
255,54,0,en,red
255,0,202,en,hot pink
255,255,0,en,canary yellow
255,0,229,en,hot pink
118,255,0,en,like gree
255,38,0,en,bright red
255,82,0,en,orange
255,0,61,en,red
255,0,223,en,magenta
220,255,0,en,yellow
110,255,0,en,lime green
190,0,255,en,purple
255,0,49,en,red
167,0,255,en,purple
255,195,0,en,goldenrod
250,0,255,en,magenta
255,162,0,en,golden sun
255,0,127,en,magenta
255,213,0,en,dark yellow
255,0,222,en,magenta
96,0,255,en,blue and purple
64,255,0,en,light green
255,0,6,en,res
255,204,0,en,yellow and orange
255,0,234,en,pink
255,143,0,en,orange
255,220,0,en,yellow and orange
255,166,0,en,light orange
84,0,255,en,deep blue
255,0,45,en,red
232,0,255,en,pink purple
255,0,55,en,deep red
255,0,207,en,dark pink
255,199,0,en,mustard
255,0,223,en,magenta
126,255,0,en,lime green
255,0,254,en,deep pink
255,90,0,en,orange
181,255,0,en,lime green
255,0,69,en,pinkish red
255,0,201,en,neon pink
255,0,148,en,bright pink
255,167,0,en,tangerine
255,152,0,en,orange
255,0,134,en,magenta
255,0,213,en,fuchsia
255,0,60,en,red
255,105,0,en,orange
255,0,204,en,magenta
130,0,255,en,purple
255,211,0,en,yellow
253,0,255,en,fresca
255,0,227,en,purple
255,0,148,en,berry
255,249,0,en,yellow
255,0,100,en,red
255,0,246,en,pink
255,192,0,en,yellow orange
161,255,0,en,green
255,134,0,en,orange
255,0,30,en,red
255,0,186,en,magenta
255,0,153,en,magenta
154,255,0,en,yellow green
255,199,0,en,squash
249,0,255,en,dark pink
255,161,0,en,orange
216,0,255,en,purple
255,0,58,en,red
255,217,0,en,dark yellow
255,249,0,en,yellow
255,51,0,en,red
152,255,0,en,green
255,122,0,en,orange
255,0,62,en,red
255,216,0,en,yellow
255,0,126,en,raspberry
255,70,0,en,red
255,0,247,en,purple
168,255,0,en,lime
255,179,0,en,orange
255,87,0,en,red
255,141,0,en,dark orange
255,0,160,en,pink
255,0,121,en,hot pink
140,255,0,en,yellow green
255,0,110,en,rose
189,0,255,en,purple
255,100,0,en,orange
255,0,25,en,red
255,0,122,en,deep pink
255,214,0,en,gold
255,0,96,en,raspberry
255,0,75,en,ruby
255,186,0,en,goldenrod
255,0,177,en,purple
82,255,0,en,lime gren
255,0,81,en,reddish purple
255,0,131,en,violet
79,0,255,en,blue
255,224,0,en,yellow
255,0,213,en,violet
186,0,255,en,purple
148,255,0,en,lime green
221,255,0,en,neon yellow
77,255,0,en,green
255,0,194,en,deep pink
255,0,242,en,fuchsia
146,0,255,en,indigo
255,123,0,en,orange
255,88,0,en,orange
255,0,211,en,pink
255,232,0,en,yellow
255,65,0,en,dark orange
255,0,219,en,fuschia
11,0,255,en,blue
255,181,0,en,gold
138,0,255,en,purple
255,0,136,en,hot pink
255,0,91,en,magenta
255,0,19,en,red
202,0,255,en,light purple
255,237,0,en,yellow
61,0,255,en,blue
255,188,0,en,orange
255,115,0,en,rust orange
212,255,0,en,yellow green
116,255,0,en,lime green
165,0,255,en,purple
255,65,0,en,red
230,0,255,en,fuscia
255,0,175,en,hot pink
255,128,0,en,orange
255,0,219,en,magenta
255,0,111,en,hot pink
39,255,0,en,lime green
43,0,255,en,cobalt blue
255,77,0,en,red orange
255,0,236,en,fuschia
249,0,255,en,fuschia
255,0,130,en,dark pink
249,255,0,en,bright yellow
255,183,0,en,yellow orange
255,0,48,en,scarlet
255,217,0,en,dark yellow
208,0,255,en,purple
255,0,252,en,pink
88,255,0,en,green
255,196,0,en,mustard
255,0,37,en,red
255,0,99,en,pink
179,255,0,en,lime green
255,63,0,en,red orange
247,0,255,en,lavender
149,255,0,en,lime green
255,0,154,en,hot pink
