r,g,b,lang_code,human_raw,human_norm,human_min
101,181,77,en,green,green,green
233,61,210,en,purple,purple,purple
9,184,32,en,green,green,green
112,192,232,en,blue,blue,blue
213,157,245,en,purple,purple,purple
180,225,98,en,green,green,green
221,110,39,en,orange,orange,orange
174,249,187,en,blue,blue,blue
240,15,131,en,pink,pink,pink
147,30,63,en,pink,pink,pink
5,92,66,en,blue,blue,blue
69,254,114,en,green,green,green
213,13,89,en,Pink,pink,pink
248,52,222,en,Pink,pink,pink
163,8,187,en,Purple,purple,purple
169,17,147,en,Purple,purple,purple
27,213,116,en,Green,green,green
240,32,41,en,Red,red,red
20,241,40,en,Green,green,green
251,53,148,en,Pink,pink,pink
130,52,163,en,Purple,purple,purple
131,11,40,en,Purple,purple,purple
193,69,72,en,Pink,pink,pink
66,141,70,en,Green,green,green
243,5,12,en,red,red,red
113,226,177,en,blue,blue,blue
111,220,8,en,green,green,green
43,162,248,en,blue,blue,blue
135,126,181,en,purple,purple,purple
208,223,20,en,yellow,yellow,yellow
43,241,231,en,blue,blue,blue
164,144,159,en,purple,purple,purple
228,188,221,en,pink,pink,pink
7,240,13,en,green,green,green
142,217,109,en,green,green,green
158,156,31,en,green,green,green
189,1,122,en,Purple,purple,purple
150,241,186,en,Light Blue,light blue,lightblue
24,230,47,en,Green,green,green
204,68,199,en,Light Purple,light purple,lightpurple
1,204,185,en,Turqoise,turqoise,turquoise
212,247,244,en,Light Blue,light blue,lightblue
142,134,71,en,Brown,brown,brown
161,111,224,en,Purple,purple,purple
13,93,50,en,Green,green,green
53,4,233,en,Blue,blue,blue
162,188,184,en,Grey,grey,gray
61,112,2,en,Green,green,green
233,177,129,en,tan,tan,tan
55,137,35,en,dark green,dark green,darkgreen
76,26,96,en,navy blue,navy blue,navyblue
92,190,103,en,light green,light green,lightgreen
182,34,124,en,purple,purple,purple
204,137,68,en,light brown,light brown,lightbrown
79,123,59,en,grayish green,grayish green,grayishgreen
84,4,126,en,dark purple,dark purple,darkpurple
169,185,249,en,baby blue,baby blue,babyblue
221,75,205,en,indigo,indigo,indigo
7,252,91,en,lime green,lime green,limegreen
162,42,40,en,red,red,red
242,125,247,en,purple,purple,purple
154,192,147,en,green,green,green
72,14,152,en,blue,blue,blue
45,23,198,en,blue,blue,blue
182,145,1,en,yellow,yellow,yellow
65,113,20,en,green,green,green
144,251,152,en,green,green,green
249,143,195,en,pink,pink,pink
41,244,175,en,blue,blue,blue
248,246,48,en,yellow,yellow,yellow
176,5,142,en,purple,purple,purple
20,227,169,en,Blue,blue,blue
177,4,241,en,Purple,purple,purple
64,119,164,en,Blue,blue,blue
56,188,8,en,Green,green,green
194,191,150,en,Grey,grey,gray
52,64,236,en,Blue,blue,blue
99,16,241,en,Purple,purple,purple
110,241,219,en,Blue,blue,blue
180,238,45,en,Green,green,green
245,223,74,en,Yellow,yellow,yellow
174,194,188,en,Grey,grey,gray
151,115,64,en,Brown,brown,brown
37,161,219,en,Blue,blue,blue
116,208,236,en,Blue,blue,blue
53,97,255,en,Blue,blue,blue
115,34,189,en,Purple,purple,purple
249,189,57,en,Orange,orange,orange
207,7,83,en,Magenta,magenta,magenta
14,142,73,en,Green,green,green
198,68,243,en,Purple,purple,purple
165,198,96,en,Green,green,green
135,20,227,en,Purple,purple,purple
66,87,69,en,Grey,grey,gray
136,44,3,en,Brown,brown,brown
167,74,178,en,purple,purple,purple
144,136,245,en,purplish blue,purplish blue,purplishblue
2,77,2,en,dark green,dark green,darkgreen
145,165,121,en,grey,grey,gray
223,246,199,en,greenish grey,greenish grey,greenishgray
237,11,117,en,dark pink,dark pink,darkpink
20,221,166,en,teel,teel,teal
103,240,220,en,neon blue,neon blue,neonblue
171,7,73,en,maroon,maroon,maroon
131,14,198,en,indigo,indigo,indigo
151,97,66,en,light brown,light brown,lightbrown
187,214,129,en,grayish green,grayish green,grayishgreen
26,201,209,en,light blue,light blue,lightblue
55,137,211,en,blue,blue,blue
175,50,164,en,purple,purple,purple
241,254,21,en,yellow,yellow,yellow
127,181,145,en,gray,gray,gray
167,227,14,en,lime green,lime green,limegreen
9,65,229,en,blue,blue,blue
57,189,21,en,green,green,green
144,92,230,en,light purple,light purple,lightpurple
137,39,62,en,dark red,dark red,darkred
163,230,114,en,gray,gray,gray
225,24,71,en,pinkish red,pinkish red,pinkishred
180,4,114,en,Purple,purple,purple
58,100,235,en,Blue,blue,blue
244,185,37,en,Yellow,yellow,yellow
223,191,231,en,Purple,purple,purple
8,204,251,en,Blue,blue,blue
59,34,147,en,Blue,blue,blue
74,141,230,en,Blue,blue,blue
193,226,91,en,Green,green,green
46,88,28,en,Green,green,green
117,189,93,en,Green,green,green
210,143,220,en,Purple,purple,purple
195,124,11,en,Orange,orange,orange
67,245,171,en,mint green,mint green,mintgreen
231,17,245,en,light purple,light purple,lightpurple
23,56,21,en,black,black,black
169,169,247,en,light blue,light blue,lightblue
49,130,65,en,dark green,dark green,darkgreen
196,152,25,en,gold,gold,gold
161,222,239,en,light blue,light blue,lightblue
168,162,158,en,gray,gray,gray
231,92,26,en,dark orange,dark orange,darkorange
13,42,78,en,navy blue,navy blue,navyblue
104,109,217,en,light blue,light blue,lightblue
202,185,222,en,gray,gray,gray
254,102,184,en,Pink,pink,pink
201,123,135,en,Dark Pink,dark pink,darkpink
251,24,187,en,Pink,pink,pink
24,96,191,en,Blue,blue,blue
187,232,47,en,Green,green,green
244,144,111,en,Pink,pink,pink
177,206,143,en,Green,green,green
241,253,126,en,Yellow,yellow,yellow
14,3,20,en,Black,black,black
85,85,118,en,Blue,blue,blue
106,171,44,en,Green,green,green
72,200,56,en,Green,green,green
85,194,117,en,mint green,mint green,mintgreen
41,19,3,en,brown,brown,brown
222,194,148,en,tan,tan,tan
237,7,149,en,dark pink,dark pink,darkpink
95,34,69,en,dark purple,dark purple,darkpurple
226,145,232,en,light purple,light purple,lightpurple
231,121,136,en,light pink,light pink,lightpink
209,126,42,en,dark gold,dark gold,darkgold
171,195,41,en,olive,olive,olive
4,139,24,en,dark green,dark green,darkgreen
36,253,69,en,light green,light green,lightgreen
122,121,148,en,light blue,light blue,lightblue
185,60,172,en,purple,purple,purple
34,6,178,en,blue,blue,blue
177,171,16,en,green,green,green
200,168,172,en,light purple,light purple,lightpurple
251,44,44,en,red,red,red
124,140,19,en,green,green,green
213,74,6,en,light orange,light orange,lightorange
7,136,221,en,light blue,light blue,lightblue
244,167,36,en,yellow,yellow,yellow
58,116,135,en,ugly blue,ugly blue,uglyblue
245,182,117,en,peach,peach,peach
247,3,171,en,fushia,fushia,fuchsia
52,169,67,en,green,green,green
9,95,12,en,black,black,black
231,26,68,en,red,red,red
211,146,145,en,pink,pink,pink
198,117,91,en,brown,brown,brown
215,100,145,en,pink,pink,pink
93,176,111,en,green,green,green
132,221,50,en,green,green,green
239,48,123,en,pink,pink,pink
177,32,72,en,red,red,red
6,52,176,en,blue,blue,blue
37,24,225,en,blue,blue,blue
205,12,108,en,Hot pink,hot pink,hotpink
146,223,225,en,turquoise,turquoise,turquoise
199,113,123,en,maroon,maroon,maroon
28,207,115,en,green,green,green
12,71,159,en,royal blue,royal blue,royalblue
35,134,147,en,teal,teal,teal
15,86,212,en,bright blue,bright blue,brightblue
218,226,243,en,gray,gray,gray
199,55,11,en,oraneed red,oraneed red,oraneedred
66,248,205,en,bright green,bright green,brightgreen
83,36,254,en,blue purple,blue purple,bluepurple
176,212,11,en,lime green,lime green,limegreen
112,102,29,en,murky green,murky green,murkygreen
219,118,6,en,orange,orange,orange
21,28,184,en,royal blue,royal blue,royalblue
145,60,33,en,brick red,brick red,brickred
65,152,68,en,green,green,green
121,204,56,en,lime green,lime green,limegreen
220,175,173,en,paStella pink,pastella pink,pastellapink
181,127,20,en,orange brown,orange brown,orangebrown
12,149,205,en,bright blue,bright blue,brightblue
205,193,116,en,yellow orange,yellow orange,yelloworange
93,19,77,en,purple,purple,purple
164,56,169,en,purple pink,purple pink,purplepink
91,242,194,en,turquoise,turquoise,turquoise
61,49,230,en,blue,blue,blue
52,1,252,en,blue,blue,blue
50,144,165,en,aqua,aqua,aqua
29,20,103,en,dark blue,dark blue,darkblue
133,223,33,en,lime green,lime green,limegreen
147,58,225,en,purple,purple,purple
169,196,104,en,green,green,green
163,35,33,en,maroon,maroon,maroon
175,156,105,en,biege,biege,beige
231,149,46,en,orange,orange,orange
245,128,196,en,pink,pink,pink
227,0,84,en,red,red,red
155,4,243,en,purple,purple,purple
213,33,1,en,red,red,red
123,102,133,en,grey,grey,gray
38,238,20,en,green,green,green
17,177,7,en,green,green,green
225,7,176,en,pink,pink,pink
240,244,171,en,yellow,yellow,yellow
6,92,9,en,green,green,green
73,99,74,en,green,green,green
240,248,242,en,white,white,white
22,171,84,en,green,green,green
207,243,50,en,yellow,yellow,yellow
220,193,207,en,pink,pink,pink
226,30,232,en,pink,pink,pink
8,196,211,en,blue,blue,blue
133,87,216,en,purple,purple,purple
68,135,23,en,green,green,green
106,222,106,en,green,green,green
68,100,185,en,blue,blue,blue
161,254,235,en,blue,blue,blue
226,109,121,en,red,red,red
122,141,56,en,green,green,green
39,234,90,en,green,green,green
27,213,28,en,Green,green,green
16,78,248,en,Blue,blue,blue
218,170,15,en,Orange,orange,orange
110,21,176,en,indigo,indigo,indigo
183,254,129,en,Green,green,green
248,16,162,en,Magenta,magenta,magenta
135,217,48,en,Green,green,green
54,114,19,en,Green,green,green
188,206,67,en,Tan,tan,tan
168,38,105,en,Magenta,magenta,magenta
231,124,211,en,purple,purple,purple
42,222,207,en,Blue,blue,blue
23,45,253,en,Blue,blue,blue
222,15,86,en,Pink,pink,pink
252,2,42,en,Red,red,red
70,113,93,en,Grey,grey,gray
12,123,211,en,Blue,blue,blue
235,92,12,en,Orange,orange,orange
133,130,20,en,Gold,gold,gold
174,125,233,en,Purple,purple,purple
113,16,92,en,Purple,purple,purple
134,74,105,en,Purple,purple,purple
239,104,72,en,Pink,pink,pink
37,147,154,en,Blue,blue,blue
191,127,104,en,Brown,brown,brown
28,88,204,en,Blue,blue,blue
69,168,206,en,Blue,blue,blue
197,196,155,en,Grey,grey,gray
187,4,172,en,Purple,purple,purple
197,70,84,en,Pink,pink,pink
139,175,112,en,Green,green,green
225,207,15,en,Yellow,yellow,yellow
122,188,159,en,Blue,blue,blue
40,62,140,en,Blue,blue,blue
242,158,97,en,Pink,pink,pink
129,248,16,en,Green,green,green
137,155,28,en,olive,olive,olive
48,71,152,en,navy,navy,navy
79,193,236,en,turquoise,turquoise,turquoise
80,11,216,en,purple,purple,purple
246,35,161,en,hot pink,hot pink,hotpink
146,11,140,en,Magenta,magenta,magenta
97,78,66,en,brown,brown,brown
19,14,64,en,indigo,indigo,indigo
109,228,90,en,bright green,bright green,brightgreen
129,213,176,en,blue/green,blue/green,bluegreen
167,103,157,en,Mauve,mauve,mauve
31,100,220,en,cerelian blue,cerelian blue,cerelianblue
192,86,238,en,bright violet,bright violet,brightviolet
142,82,19,en,sienna brown,sienna brown,siennabrown
46,85,135,en,teal blue,teal blue,tealblue
163,46,21,en,brick red,brick red,brickred
169,230,61,en,lime green,lime green,limegreen
248,249,78,en,yellow,yellow,yellow
150,134,41,en,puce,puce,puce
48,121,131,en,teal green,teal green,tealgreen
245,112,27,en,tangerine,tangerine,tangerine
125,146,226,en,medium blue,medium blue,mediumblue
76,66,204,en,purple,purple,purple
23,235,9,en,bright green,bright green,brightgreen
226,66,205,en,bright pink,bright pink,brightpink
38,170,13,en,green,green,green
64,211,117,en,green/yellow,green/yellow,greenyellow
192,18,242,en,magenta,magenta,magenta
227,246,211,en,celadon green,celadon green,celadongreen
244,185,148,en,peach,peach,peach
44,156,224,en,blue,blue,blue
230,203,104,en,yellow ochre,yellow ochre,yellowochre
224,196,15,en,dark yellow,dark yellow,darkyellow
21,196,200,en,bright turquoise,bright turquoise,brightturquoise
181,189,237,en,blue/grey,blue/grey,bluegray
250,173,13,en,yellow/orange,yellow/orange,yelloworange
217,108,115,en,pink,pink,pink
145,197,156,en,teal,teal,teal
20,236,208,en,aqua,aqua,aqua
244,176,38,en,burnt umber,burnt umber,burntumber
183,177,232,en,lavender,lavender,lavender
146,59,111,en,purple,purple,purple
239,85,5,en,orange,orange,orange
114,249,110,en,mint,mint,mint
59,158,87,en,green,green,green
243,147,100,en,salmon,salmon,salmon
225,63,179,en,magenta,magenta,magenta
13,3,176,en,eel,eel,eel
150,86,171,en,light purple,light purple,lightpurple
96,246,125,en,slightly darker light green,slightly darker light green,slightlydarkerlightgreen
195,28,233,en,fuschia,fuschia,fuchsia
133,241,154,en,light green,light green,lightgreen
114,119,209,en,pale blue,pale blue,paleblue
211,238,163,en,pale green,pale green,palegreen
120,183,199,en,ocean blue,ocean blue,oceanblue
15,1,156,en,dark blue,dark blue,darkblue
101,56,206,en,blueish purple,blueish purple,blueishpurple
6,82,16,en,dark green,dark green,darkgreen
53,179,243,en,light blue,light blue,lightblue
224,147,16,en,dark yellow,dark yellow,darkyellow
223,2,86,en,fuchsia,fuchsia,fuchsia
88,130,139,en,greyish blue,greyish blue,grayishblue
11,46,150,en,blue,blue,blue
33,58,31,en,forest green,forest green,forestgreen
149,101,58,en,light brown,light brown,lightbrown
5,185,149,en,greenish blue,greenish blue,greenishblue
73,20,110,en,purple,purple,purple
228,118,172,en,pink,pink,pink
23,232,234,en,turquoise,turquoise,turquoise
207,204,205,en,gray,gray,gray
212,23,25,en,red,red,red
77,17,50,en,red-ish purple,red ish purple,reddishpurple
52,164,68,en,green,green,green
205,226,10,en,pale yellow,pale yellow,paleyellow
177,93,7,en,bright brown,bright brown,brightbrown
171,93,118,en,dark pink,dark pink,darkpink
162,60,71,en,pale red,pale red,palered
127,186,110,en,pale green,pale green,palegreen
123,234,31,en,bright green,bright green,brightgreen
38,22,61,en,dark purple,dark purple,darkpurple
34,251,93,en,neon green,neon green,neongreen
122,105,233,en,purple-ish blue,purple ish blue,purpleishblue
247,41,183,en,fuchsia,fuchsia,fuchsia
1,222,138,en,Teal,teal,teal
223,212,5,en,Yellow,yellow,yellow
123,1,35,en,Dark Red,dark red,darkred
54,230,88,en,Green,green,green
93,227,18,en,Lime,lime,lime
204,71,193,en,Purple,purple,purple
125,51,243,en,Lavender,lavender,lavender
71,172,17,en,Dark Green,dark green,darkgreen
33,115,149,en,Sky Blue,sky blue,skyblue
24,83,203,en,Blue,blue,blue
10,196,216,en,Sky Blue,sky blue,skyblue
242,52,156,en,Purple,purple,purple
84,207,184,en,Teal,teal,teal
201,68,244,en,Lavender,lavender,lavender
113,65,134,en,violet,violet,violet
42,96,173,en,Blue,blue,blue
232,115,46,en,Orange,orange,orange
242,151,198,en,Pink,pink,pink
235,24,20,en,Red,red,red
69,8,160,en,Blue,blue,blue
149,152,60,en,Green,green,green
77,128,2,en,Green,green,green
178,222,75,en,Green,green,green
128,61,10,en,Brown,brown,brown
90,90,246,en,Blue,blue,blue
208,108,184,en,Pink,pink,pink
104,83,21,en,Brown,brown,brown
177,75,113,en,Pink,pink,pink
176,135,83,en,Brown,brown,brown
188,124,119,en,Pink,pink,pink
167,173,228,en,Blue,blue,blue
95,14,219,en,violet,violet,violet
143,107,227,en,indigo,indigo,indigo
24,129,235,en,blue,blue,blue
97,150,90,en,forest green,forest green,forestgreen
149,212,127,en,green,green,green
46,221,134,en,teal,teal,teal
185,208,174,en,sea green,sea green,seagreen
18,219,25,en,neon,neon,neon
250,173,89,en,orange,orange,orange
168,121,199,en,purple,purple,purple
165,16,161,en,purple,purple,purple
239,126,4,en,orange,orange,orange
12,72,159,en,blue,blue,blue
2,132,46,en,green,green,green
5,9,170,en,indigo,indigo,indigo
255,140,249,en,pink,pink,pink
78,186,57,en,green,green,green
84,207,166,en,teal,teal,teal
11,4,120,en,violet,violet,violet
4,177,230,en,light blue,light blue,lightblue
69,131,137,en,teal,teal,teal
217,61,137,en,hot pink,hot pink,hotpink
194,106,151,en,dark pink,dark pink,darkpink
210,215,50,en,neon,neon,neon
2,88,224,en,blue,blue,blue
66,98,32,en,navy green,navy green,navygreen
248,8,64,en,red,red,red
140,209,223,en,light blue,light blue,lightblue
196,86,22,en,dark orange,dark orange,darkorange
217,171,6,en,gold,gold,gold
248,19,212,en,hot pink,hot pink,hotpink
132,113,91,en,light brown,light brown,lightbrown
151,173,45,en,green yellow,green yellow,greenyellow
81,136,180,en,medium blue,medium blue,mediumblue
130,3,10,en,maroon,maroon,maroon
217,30,12,en,dark red,dark red,darkred
254,12,238,en,hot pink,hot pink,hotpink
6,212,42,en,green,green,green
159,20,181,en,purple (plum),purple (plum),purpleplum
118,78,244,en,blue,blue,blue
50,170,157,en,viridian,viridian,viridian
230,20,37,en,orange,orange,orange
95,109,59,en,dark green,dark green,darkgreen
241,129,74,en,tangerine,tangerine,tangerine
132,101,20,en,brown,brown,brown
105,74,175,en,purple,purple,purple
146,216,31,en,light green,light green,lightgreen
157,17,129,en,reddish purple,reddish purple,reddishpurple
37,167,210,en,blue,blue,blue
110,229,179,en,green,green,green
122,108,124,en,mauve,mauve,mauve
101,22,71,en,reddish purple,reddish purple,reddishpurple
130,35,8,en,dark red,dark red,darkred
254,55,122,en,hot pink,hot pink,hotpink
59,4,9,en,black,black,black
169,44,96,en,rose,rose,rose
63,31,82,en,dark purple,dark purple,darkpurple
155,200,183,en,green,green,green
8,5,235,en,blue,blue,blue
81,226,216,en,aqua,aqua,aqua
113,82,63,en,brown,brown,brown
39,20,190,en,purple,purple,purple
46,140,81,en,olive green,olive green,olivegreen
189,128,1,en,burnt orange,burnt orange,burntorange
162,255,18,en,yellow green,yellow green,yellowgreen
104,184,60,en,forest green,forest green,forestgreen
199,154,231,en,lavender,lavender,lavender
241,251,63,en,yellow,yellow,yellow
173,185,13,en,yellow-green,yellow green,yellowgreen
183,200,242,en,light blue,light blue,lightblue
170,110,159,en,mauve,mauve,mauve
23,52,183,en,deep purple,deep purple,deeppurple
170,108,231,en,lavender,lavender,lavender
89,11,243,en,indigo,indigo,indigo
27,84,157,en,navy,navy,navy
191,96,162,en,rose,rose,rose
239,44,163,en,hot pink,hot pink,hotpink
74,234,24,en,lime green,lime green,limegreen
171,10,52,en,burgundy,burgundy,burgundy
24,206,247,en,sky blue,sky blue,skyblue
110,32,188,en,violet,violet,violet
95,143,23,en,forest green,forest green,forestgreen
33,179,249,en,blue,blue,blue
220,48,227,en,fuschia,fuschia,fuchsia
31,11,25,en,black,black,black
200,63,9,en,burnt sienna,burnt sienna,burntsienna
7,216,102,en,jade,jade,jade
31,217,195,en,aqua,aqua,aqua
18,154,100,en,hunter green,hunter green,huntergreen
